Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
67,   5/4/2024, 01:39:50.865500,   5/4/2024, 01:39:50.705536,      Primary,2,0,-430,2770,8230,-0.74,12.13,7,6.2,10.6,1.7,1000000,     L2 msmx,6.85
185,   5/4/2024, 01:48:29.964750,   5/4/2024, 01:48:29.858046,      Primary,2,0,-1340,3240,7760,0.46,266.73,7,76.4,177.6,2.3,1000000,     L2 msmx,10.36
472,   5/4/2024, 02:04:31.925750,   5/4/2024, 02:04:31.786766,      Primary,2,0,90,3260,7810,-0.13,129.06,7,11.4,26.8,1.7,1000000,     L2 msmx,7.74
863,   5/4/2024, 02:27:00.555500,   5/4/2024, 02:27:00.404926,      Primary,2,0,130,3190,7970,0,186.03,7,15.8,34.6,2.8,1000000,     L2 msmx,10.23
896,   5/4/2024, 02:28:44.072250,   5/4/2024, 02:28:43.919693,      Primary,2,0,180,3290,7860,0.1,204.47,7,24.4,35.6,2.5,1000000,     L2 msmx,10.17
981,   5/4/2024, 02:32:56.770250,   5/4/2024, 02:32:56.618034,      Primary,2,0,0,3190,7900,0.29,520.03,7,12.3,33.1,3.3,1000000,     L2 msmx,11.62
983,   5/4/2024, 02:33:02.257250,   5/4/2024, 02:33:02.103448,      Primary,2,0,100,3180,7860,0.4,539.14,7,13.1,35.7,4.2,1000000,     L2 msmx,12.5
1069,   5/4/2024, 02:38:04.089500,   5/4/2024, 02:38:03.976789,      Primary,2,0,30,3260,7710,-0.12,102.19,7,8.2,16.6,2.4,1000000,     L2 msmx,8.62
1186,   5/4/2024, 02:44:57.791250,   5/4/2024, 02:44:57.663387,      Primary,2,0,-1030,2830,7700,0.25,187.75,7,30.2,41.1,3.1,1000000,     L2 msmx,18.57
1249,   5/4/2024, 02:48:15.659000,   5/4/2024, 02:48:15.512150,      Primary,2,0,-600,2840,7890,-0.42,29.23,7,15.1,33.3,2,1000000,     L2 msmx,11.65
1335,   5/4/2024, 02:52:26.326500,   5/4/2024, 02:52:26.238441,      Primary,2,0,-610,3050,7230,-0.22,78.36,7,19.5,42.4,1.9,1000000,     L2 msmx,7.15
1460,   5/4/2024, 02:58:11.466750,   5/4/2024, 02:58:11.353000,      Primary,2,0,-30,3190,7840,-0.07,186.15,7,6.1,11.5,2.2,1000000,     L2 msmx,8.76
1682,   5/4/2024, 03:09:32.930000,   5/4/2024, 03:09:32.766975,      Primary,2,0,-390,2950,8180,-0.03,98.95,7,11.2,29.8,2.7,1000000,     L2 msmx,9.93
1684,   5/4/2024, 03:09:41.595500,   5/4/2024, 03:09:41.453449,      Primary,2,0,-1470,3340,7740,0.16,148.69,7,19.5,31.6,1.9,1000000,     L2 msmx,8.88
1759,   5/4/2024, 03:13:16.700250,   5/4/2024, 03:13:16.695337,      Primary,2,0,-420,2920,7720,-0.22,183.18,7,16,29.8,2.4,1000000,     L2 msmx,6.94
1773,   5/4/2024, 03:13:57.353500,   5/4/2024, 03:13:57.177387,      Primary,2,0,190,3260,8230,-0.02,144.85,7,6.8,10.7,2.1,1000000,     L2 msmx,9.14
1777,   5/4/2024, 03:14:16.576000,   5/4/2024, 03:14:16.431767,      Primary,2,0,110,3210,7820,-0.06,90.94,7,10.8,24.1,2.3,1000000,     L2 msmx,9.1
1802,   5/4/2024, 03:15:28.286750,   5/4/2024, 03:15:28.110332,      Primary,2,0,120,3200,8330,0.23,164.05,7,15.4,27,1.2,1000000,     L2 msmx,8.09
1869,   5/4/2024, 03:18:47.493750,   5/4/2024, 03:18:47.346764,      Primary,2,0,90,3270,7860,0.03,137.92,7,9.2,14.1,2.4,1000000,     L2 msmx,9.52
1873,   5/4/2024, 03:19:05.048250,   5/4/2024, 03:19:05.085731,      Primary,2,0,80,3360,7850,0.01,164.56,7,21,31.1,1.9,1000000,     L2 msmx,6.83
1890,   5/4/2024, 03:19:52.927250,   5/4/2024, 03:19:52.778164,      Primary,2,0,-940,2890,7710,-0.14,94.41,7,26.9,48.1,2.2,1000000,     L2 msmx,14.03
1971,   5/4/2024, 03:23:33.751250,   5/4/2024, 03:23:33.610733,      Primary,2,0,-490,2860,7800,-0.08,142,7,21.2,36.8,2.7,1000000,     L2 msmx,14.7
