Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
2989,   7/4/2024, 16:00:00.053750,   7/4/2024, 15:59:59.885429,      Primary,2,0,480,3220,8430,-0.03,218.75,Post Stim,28.7,38.8,1.8,1000000,     L2 msmx,11.43
3015,   7/4/2024, 16:01:05.161500,   7/4/2024, 16:01:04.986287,      Primary,2,0,-2470,2340,7370,0.54,187.75,Post Stim,67,118.6,1.4,1000000,     L2 msmx,15.75
3092,   7/4/2024, 16:03:58.944500,   7/4/2024, 16:03:58.765827,      Primary,2,0,-300,2130,8080,-0.44,30.02,Post Stim,25.6,21.2,1.6,1000000,     L2 msmx,9.75
3118,   7/4/2024, 16:04:54.569250,   7/4/2024, 16:04:54.506161,      Primary,2,0,-140,2200,8010,-0.11,60.5,Post Stim,24.9,55.6,2.6,1000000,     L2 msmx,8.16
3789,   7/4/2024, 16:29:45.234250,   7/4/2024, 16:29:45.049519,      Primary,2,0,-2260,2330,7700,-0.08,63.87,Post Stim,10.7,15.4,2.1,1000000,     L2 msmx,8.26
3823,   7/4/2024, 16:31:10.959000,   7/4/2024, 16:31:10.597390,      Primary,2,0,-260,2130,8080,-0.04,83.45,Post Stim,27.9,30,2.6,1000000,     L2 msmx,20.11
3834,   7/4/2024, 16:31:38.653750,   7/4/2024, 16:31:38.459431,      Primary,2,0,-2570,2380,7720,-0.09,73.93,Post Stim,16.1,27.9,1.5,1000000,     L2 msmx,8
3990,   7/4/2024, 16:37:50.475500,   7/4/2024, 16:37:50.313160,      Primary,2,0,610,3270,8220,0.28,337.9,Post Stim,16,30.6,3,1000000,     L2 msmx,9.86
4015,   7/4/2024, 16:38:59.046750,   7/4/2024, 16:38:58.953518,      Primary,2,0,570,3280,8180,-0.16,117.16,Post Stim,16.8,27,1.9,1000000,     L2 msmx,7.77
4264,   7/4/2024, 16:48:30.650250,   7/4/2024, 16:48:30.449734,      Primary,2,0,-2490,2280,8000,-0.23,56.63,Post Stim,17.6,39.6,1.4,1000000,     L2 msmx,8
4419,   7/4/2024, 16:54:00.049000,   7/4/2024, 16:54:00.202868,      Primary,2,0,-2110,2190,7970,-0.24,63.78,Post Stim,14.1,28,1.8,1000000,     L2 msmx,7.75
4498,   7/4/2024, 16:56:47.717500,   7/4/2024, 16:56:47.556679,      Primary,2,0,560,3360,8090,0.07,276.14,Post Stim,33,92.9,2,1000000,     L2 msmx,10.38
4818,   7/4/2024, 17:08:53.143000,   7/4/2024, 17:08:53.082191,      Primary,2,0,-2530,2270,7830,-0.19,70.22,Post Stim,12.2,21.1,1.5,1000000,     L2 msmx,9.41
4943,   7/4/2024, 17:13:27.835250,   7/4/2024, 17:13:27.798477,      Primary,2,0,-310,2120,8070,-0.36,23.27,Post Stim,15,17.5,1.9,1000000,     L2 msmx,7.83
5172,   7/4/2024, 17:22:07.345250,   7/4/2024, 17:22:07.161274,      Primary,2,0,30,2930,8650,-0.24,50.17,Post Stim,73.8,54.1,1.4,1000000,     L2 msmx,10.38
5439,   7/4/2024, 17:32:38.622500,   7/4/2024, 17:32:38.560768,      Primary,2,0,-280,2920,8480,0.22,100.97,Post Stim,6.3,13.8,1.4,1000000,     L2 msmx,10.56
5454,   7/4/2024, 17:33:11.408250,   7/4/2024, 17:33:11.250854,      Primary,2,0,-210,2160,8030,-0.39,20.48,Post Stim,33.8,19.1,1.8,1000000,     L2 msmx,8.56
5460,   7/4/2024, 17:33:26.198750,   7/4/2024, 17:33:26.019447,      Primary,2,0,-2260,2260,7800,0.4,187.75,Post Stim,110.9,205.5,4,1000000,     L2 msmx,9.87
5622,   7/4/2024, 17:38:23.568000,   7/4/2024, 17:38:23.384155,      Primary,2,0,-100,3000,8520,0.21,117.15,Post Stim,20.3,48.6,1.9,1000000,     L2 msmx,8.87
5623,   7/4/2024, 17:38:28.830250,   7/4/2024, 17:38:28.642067,      Primary,2,0,100,3280,8230,0,93.42,Post Stim,19.1,19.8,1.6,1000000,     L2 msmx,8.73
5729,   7/4/2024, 17:42:41.805250,   7/4/2024, 17:42:41.595585,      Primary,2,0,-2400,2260,8370,0.15,110.55,Post Stim,160.7,160.2,1.7,1000000,     L2 msmx,13.18
5738,   7/4/2024, 17:43:08.144250,   7/4/2024, 17:43:07.935604,      Primary,2,0,-2340,2240,8360,0.15,175.65,Post Stim,52.2,60,1.6,1000000,     L2 msmx,8.55
6223,   7/4/2024, 18:01:47.735750,   7/4/2024, 18:01:47.374283,      Primary,2,0,-170,2180,8030,-0.18,50.37,Post Stim,5.9,10.3,2.8,1000000,     L2 msmx,14.94
6264,   7/4/2024, 18:03:19.073000,   7/4/2024, 18:03:18.914246,      Primary,2,0,-160,2170,8040,-0.46,28.77,Post Stim,34.8,28.8,1.8,1000000,     L2 msmx,13.09
6269,   7/4/2024, 18:03:29.664250,   7/4/2024, 18:03:29.470711,      Primary,2,0,-2360,2250,7960,-0.09,92.11,Post Stim,31.1,49.1,1.9,1000000,     L2 msmx,8.1
6444,   7/4/2024, 18:10:26.637500,   7/4/2024, 18:10:26.475307,      Primary,2,0,730,3460,7900,0.04,127.56,Post Stim,14.5,18.8,1.9,1000000,     L2 msmx,11.08
6506,   7/4/2024, 18:12:56.718750,   7/4/2024, 18:12:56.686596,      Primary,2,0,-1550,2390,6250,0.46,489.75,Post Stim,122.5,138.5,3.1,1000000,     L2 msmx,7.93
6742,   7/4/2024, 18:22:07.524750,   7/4/2024, 18:22:07.421988,      Primary,2,0,-1600,2440,6270,0.01,358.6,Post Stim,58.4,93.3,1.8,1000000,     L2 msmx,8.24
6896,   7/4/2024, 18:27:50.916000,   7/4/2024, 18:27:50.567001,      Primary,2,0,-2120,2190,8000,-0.17,91.79,Post Stim,24.2,30.3,1.5,1000000,     L2 msmx,16.91
7089,   7/4/2024, 18:35:13.317500,   7/4/2024, 18:35:13.124051,      Primary,2,0,-2350,2230,8090,0.15,82.87,Post Stim,41.5,42.7,2.5,1000000,     L2 msmx,9.24
7106,   7/4/2024, 18:35:57.068250,   7/4/2024, 18:35:56.910965,      Primary,2,0,-130,2210,7940,-0.48,19.15,Post Stim,5.8,6.6,1.9,1000000,     L2 msmx,9.37
7194,   7/4/2024, 18:39:19.472500,   7/4/2024, 18:39:19.305996,      Primary,2,0,-310,2100,8170,-0.12,71.93,Post Stim,58.7,65,2.4,1000000,     L2 msmx,10.93
7282,   7/4/2024, 18:42:27.555500,   7/4/2024, 18:42:27.639370,      Primary,2,0,-2270,2250,7970,-0.37,34.82,Post Stim,30.5,39.6,1.7,1000000,     L2 msmx,7.8
7355,   7/4/2024, 18:45:18.405250,   7/4/2024, 18:45:18.210730,      Primary,2,0,-2380,2270,7990,-0.08,96.66,Post Stim,36.1,78.8,1.5,1000000,     L2 msmx,7.85
7408,   7/4/2024, 18:47:18.536000,   7/4/2024, 18:47:18.336746,      Primary,2,0,-2280,2260,8000,-0.37,40.15,Post Stim,14.4,33.4,1.7,1000000,     L2 msmx,8.09
7409,   7/4/2024, 18:47:21.095750,   7/4/2024, 18:47:20.955481,      Primary,2,0,-2190,2220,8040,-0.05,98.36,Post Stim,9.3,20.8,1.9,1000000,     L2 msmx,8.08
7806,   7/4/2024, 19:02:48.271250,   7/4/2024, 19:02:48.104607,      Primary,2,0,-300,2090,8200,-0.38,32.75,Post Stim,17.3,21.1,1.9,1000000,     L2 msmx,9.09
7917,   7/4/2024, 19:07:09.388750,   7/4/2024, 19:07:09.198486,      Primary,2,0,160,2960,8530,-0.22,53.14,Post Stim,53,43.6,1.5,1000000,     L2 msmx,8.25
8049,   7/4/2024, 19:12:07.493500,   7/4/2024, 19:12:07.477472,      Primary,2,0,720,3540,7980,0.19,140.26,Post Stim,33.1,57.3,1.7,1000000,     L2 msmx,7.79
8203,   7/4/2024, 19:17:51.263250,   7/4/2024, 19:17:51.373215,      Primary,2,0,-270,2170,8030,-0.49,16.81,Post Stim,6.9,9.9,1.5,1000000,     L2 msmx,7.65
8325,   7/4/2024, 19:22:32.617250,   7/4/2024, 19:22:32.446739,      Primary,2,0,-400,2080,8250,-0.02,82.23,Post Stim,223.1,78.8,1.7,1000000,     L2 msmx,9.98
8406,   7/4/2024, 19:25:58.498250,   7/4/2024, 19:25:58.327911,      Primary,2,0,-2660,2400,7160,0.34,187.75,Post Stim,15.1,33,2.1,1000000,     L2 msmx,8.28
8518,   7/4/2024, 19:30:23.701250,   7/4/2024, 19:30:23.478891,      Primary,2,0,-140,2190,7930,-0.36,23.72,Post Stim,8.5,16.1,1.7,1000000,     L2 msmx,8.29
8784,   7/4/2024, 19:40:45.768000,   7/4/2024, 19:40:45.604145,      Primary,2,0,-390,2120,8100,0.44,132.19,Post Stim,14.4,20.6,2.7,1000000,     L2 msmx,14.42
8892,   7/4/2024, 19:45:02.014750,   7/4/2024, 19:45:01.826465,      Primary,2,0,-2180,2250,7830,-0.06,29.23,Post Stim,6.3,8.7,1.7,1000000,     L2 msmx,8.55
8980,   7/4/2024, 19:48:21.512000,   7/4/2024, 19:48:21.725061,      Primary,2,0,-2430,2340,7760,-0.1,61.14,Post Stim,4.1,6.5,1.6,1000000,     L2 msmx,8.58
9047,   7/4/2024, 19:52:13.348250,   7/4/2024, 19:52:13.166430,      Primary,2,0,-2390,2300,7760,0.1,187.75,Post Stim,71.2,160.3,2.5,1000000,     L2 msmx,8.31
9072,   7/4/2024, 19:53:16.447500,   7/4/2024, 19:53:16.484146,      Primary,2,0,-400,2030,8270,0.02,22.61,Post Stim,10.1,12.9,1.6,1000000,     L2 msmx,7.9
9092,   7/4/2024, 19:54:02.279250,   7/4/2024, 19:54:02.100004,      Primary,2,0,-90,2200,7920,-0.23,12.36,Post Stim,3.8,5.5,1.5,1000000,     L2 msmx,8.63
9093,   7/4/2024, 19:54:04.256750,   7/4/2024, 19:54:04.032388,      Primary,2,0,-100,2150,8100,-0.09,27.6,Post Stim,6.5,6.5,1.7,1000000,     L2 msmx,8.62
9499,   7/4/2024, 20:09:36.385250,   7/4/2024, 20:09:36.214706,      Primary,2,0,-2640,2370,7810,-0.04,87.55,Post Stim,49.1,124.8,1.5,1000000,     L2 msmx,7.88
9545,   7/4/2024, 20:11:11.792500,   7/4/2024, 20:11:11.613553,      Primary,2,0,-2130,2260,8130,0.35,187.75,Post Stim,12.6,41.1,1.5,1000000,     L2 msmx,8.1
9832,   7/4/2024, 20:22:11.942750,   7/4/2024, 20:22:12.095118,      Primary,2,0,-1640,2580,8560,0.09,64.31,Post Stim,55.4,46.1,2,1000000,     L2 msmx,8.22
9876,   7/4/2024, 20:23:50.481750,   7/4/2024, 20:23:50.352463,      Primary,2,0,-2270,2270,7960,0.29,55.41,Post Stim,32.9,61.9,1.9,1000000,     L2 msmx,8.12
9952,   7/4/2024, 20:26:52.549500,   7/4/2024, 20:26:52.349422,      Primary,2,0,-2460,2280,8170,0.19,113.16,Post Stim,114.5,172.6,2.8,1000000,     L2 msmx,8.8
