Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
2236,   6/4/2024, 19:17:05.789000,   6/4/2024, 19:17:05.660120,      Primary,2,0,-2180,2450,6900,-0.05,113.44,9,6.3,15.7,1.6,1000000,     L2 msmx,6.86
2496,   6/4/2024, 19:25:42.023250,   6/4/2024, 19:25:41.806435,      Primary,2,0,-300,2710,8370,-0.04,69.81,9,12.1,47,2.4,1000000,     L2 msmx,7.88
2498,   6/4/2024, 19:25:45.132250,   6/4/2024, 19:25:44.910404,      Primary,2,0,-2060,2200,7980,0.36,187.75,9,7.5,21.6,2.2,1000000,     L2 msmx,8.01
2751,   6/4/2024, 19:34:12.559750,   6/4/2024, 19:34:12.366930,      Primary,2,0,-1670,2260,7600,-0.01,105.28,9,9.1,23.1,2.5,1000000,     L2 msmx,7.6
2792,   6/4/2024, 19:35:33.824250,   6/4/2024, 19:35:33.960407,      Primary,2,0,-850,2540,8210,0.25,187.75,9,25.1,47.2,3,1000000,     L2 msmx,6.52
2802,   6/4/2024, 19:35:52.775250,   6/4/2024, 19:35:52.570717,      Primary,2,0,-1700,2170,7800,-0.07,123.8,9,4.5,9,1.9,1000000,     L2 msmx,8.87
2872,   6/4/2024, 19:38:15.365250,   6/4/2024, 19:38:15.163519,      Primary,2,0,-2070,2260,7760,0.11,144.06,9,9.6,27.6,2.4,1000000,     L2 msmx,7.46
2883,   6/4/2024, 19:38:43.187750,   6/4/2024, 19:38:43.000374,      Primary,2,0,-1690,2380,8220,0.58,187.75,9,11.9,23.4,2.5,1000000,     L2 msmx,11.11
2912,   6/4/2024, 19:39:45.393000,   6/4/2024, 19:39:45.190178,      Primary,2,0,-2130,2310,7630,-0.1,111.28,9,8.6,33.4,2,1000000,     L2 msmx,6.87
2979,   6/4/2024, 19:41:44.950250,   6/4/2024, 19:41:44.743942,      Primary,2,0,-1570,2660,8300,-0.21,55.16,9,6.3,10.7,1.7,1000000,     L2 msmx,8.37
3073,   6/4/2024, 19:44:56.161750,   6/4/2024, 19:44:55.943069,      Primary,2,0,-1900,2340,8150,0.23,187.75,9,14.6,57.2,2,1000000,     L2 msmx,7.65
3199,   6/4/2024, 19:49:08.932250,   6/4/2024, 19:49:08.754803,      Primary,2,0,-1910,2400,7160,0.09,187.75,9,5.9,13.1,1.9,1000000,     L2 msmx,7.38
3232,   6/4/2024, 19:50:11.565750,   6/4/2024, 19:50:11.706353,      Primary,2,0,-790,2390,6390,0.39,187.75,9,9.9,16.2,2.5,1000000,     L2 msmx,6.7
