Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
2309,   7/4/2024, 09:41:56.761500,   7/4/2024, 09:41:56.594788,      Primary,2,0,-100,3460,7060,0.09,123.48,25,157.4,152.1,1.9,1000000,     L2 msmx,9.12,16B_StrainRate_20240407T154152+0000_37075.h5
2459,   7/4/2024, 09:47:13.441000,   7/4/2024, 09:47:13.500441,      Primary,2,0,-240,2100,8170,0.12,74.37,25,13.9,22.9,3.1,1000000,     L2 msmx,8.08,16B_StrainRate_20240407T154704+0000_37101.h5
2474,   7/4/2024, 09:47:47.538500,   7/4/2024, 09:47:47.322208,      Primary,2,0,-2310,2310,7790,-0.14,62.59,25,13.0,36.1,1.7,1000000,     L2 msmx,8.55,16B_StrainRate_20240407T154740+0000_37104.h5
2507,   7/4/2024, 09:48:51.259500,   7/4/2024, 09:48:51.098343,      Primary,2,0,-460,3410,6890,0.11,100.83,25,111.5,59.7,2.0,1000000,     L2 msmx,8.79,16B_StrainRate_20240407T154840+0000_37109.h5
2509,   7/4/2024, 09:48:58.133750,   7/4/2024, 09:48:57.956726,      Primary,2,0,-2590,2370,7020,0.26,187.75,25,6.3,12.6,2.1,1000000,     L2 msmx,10.4,16B_StrainRate_20240407T154852+0000_37110.h5
2571,   7/4/2024, 09:51:03.437750,   7/4/2024, 09:51:03.223214,      Primary,2,0,-2320,2300,7710,-0.16,187.75,25,3.6,6.7,1.8,1000000,     L2 msmx,14.96,16B_StrainRate_20240407T155052+0000_37120.h5
2654,   7/4/2024, 09:53:49.694500,   7/4/2024, 09:53:49.486034,      Primary,2,0,-2180,2300,7740,-0.14,72.37,25,8.7,16.8,1.6,1000000,     L2 msmx,8.74,16B_StrainRate_20240407T155340+0000_37134.h5
2723,   7/4/2024, 09:55:59.241750,   7/4/2024, 09:55:59.399738,      Primary,2,0,-1750,2320,8160,1.31,370.24,25,18.5,43.7,4.6,1000000,     L2 msmx,21.15,16B_StrainRate_20240407T155552+0000_37145.h5
2871,   7/4/2024, 10:01:16.277750,   7/4/2024, 10:01:16.074493,      Primary,2,0,-2350,2340,7710,0.01,128.2,25,19.2,65.1,2.5,1000000,     L2 msmx,9.33,16B_StrainRate_20240407T160116+0000_37172.h5
2994,   7/4/2024, 10:05:48.569000,   7/4/2024, 10:05:48.613472,      Primary,2,0,-2400,2790,8190,-0.14,578.33,25,8.6,16.8,2.0,1000000,     L2 msmx,28.18,16B_StrainRate_20240407T160540+0000_37194.h5
3485,   7/4/2024, 10:22:23.903000,   7/4/2024, 10:22:23.985085,      Primary,2,0,-2360,2330,7770,0.03,103.58,25,3.7,5.6,2.3,1000000,     L2 msmx,8.15,16B_StrainRate_20240407T162216+0000_37277.h5
3678,   7/4/2024, 10:29:06.890500,   7/4/2024, 10:29:06.696715,      Primary,2,0,-2240,2190,7820,0.98,190.28,25,34.6,60.8,3.6,1000000,     L2 msmx,21.86,16B_StrainRate_20240407T162904+0000_37311.h5
3719,   7/4/2024, 10:30:27.146250,   7/4/2024, 10:30:27.260090,      Primary,2,0,-2280,2310,7840,0.17,574.68,25,13.4,43.0,2.3,1000000,     L2 msmx,33.3,16B_StrainRate_20240407T163016+0000_37317.h5
3956,   7/4/2024, 10:38:13.069500,   7/4/2024, 10:38:13.153230,      Primary,2,0,-2360,2360,7880,0.1,96.57,25,5.0,7.9,1.8,1000000,     L2 msmx,8.03,16B_StrainRate_20240407T163804+0000_37356.h5
4001,   7/4/2024, 10:39:54.428750,   7/4/2024, 10:39:54.260620,      Primary,2,0,-40,3390,7360,0.3,187.75,25,17.8,26.7,2.3,1000000,     L2 msmx,11.06,16B_StrainRate_20240407T163952+0000_37365.h5
4024,   7/4/2024, 10:40:41.661750,   7/4/2024, 10:40:41.462524,      Primary,2,0,-2160,2250,7820,0.44,187.75,25,11.8,26.6,2.9,1000000,     L2 msmx,10.11,16B_StrainRate_20240407T164040+0000_37369.h5
4350,   7/4/2024, 10:51:28.318750,   7/4/2024, 10:51:27.931953,      Primary,2,0,-1420,2500,8350,0.6,187.75,25,25.6,41.3,3.6,1000000,     L2 msmx,89.68,16B_StrainRate_20240407T165128+0000_37423.h5
