Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
45,   6/4/2024, 00:03:21.231750,   6/4/2024, 00:03:21.053165,      Primary,2,0,-1050,2390,7170,0.35,187.75,9,16.2,24.8,2.8,1000000,     L2 msmx,11.09,
146,   6/4/2024, 00:07:52.178500,   6/4/2024, 00:07:52.011955,      Primary,2,0,-1040,2390,6990,0.07,187.75,9,11.8,37.0,1.9,1000000,     L2 msmx,7.58,
333,   6/4/2024, 00:16:02.610750,   6/4/2024, 00:16:02.432596,      Primary,2,0,-960,2390,7180,0.68,187.75,9,33.3,37.2,4.6,1000000,     L2 msmx,22.31,
530,   6/4/2024, 00:24:28.660500,   6/4/2024, 00:24:28.491877,      Primary,2,0,-1130,2970,7190,0.01,134.57,9,15.2,43.2,2.1,1000000,     L2 msmx,10.43,
620,   6/4/2024, 00:28:31.732000,   6/4/2024, 00:28:31.559353,      Primary,2,0,-1130,2430,7020,0.0,172.48,9,8.3,23.5,2.1,1000000,     L2 msmx,7.34,
763,   6/4/2024, 00:34:12.745750,   6/4/2024, 00:34:12.571281,      Primary,2,0,-1270,2640,7480,0.04,145.71,9,18.5,79.5,2.1,1000000,     L2 msmx,9.69,
808,   6/4/2024, 00:36:10.911500,   6/4/2024, 00:36:10.810515,      Primary,2,0,-1010,2360,7260,0.17,187.75,9,10.2,14.6,2.4,1000000,     L2 msmx,11.14,
1186,   6/4/2024, 00:51:07.455250,   6/4/2024, 00:51:07.640456,      Primary,2,0,-1000,2380,7020,0.5,187.75,9,14.9,21.9,4.2,1000000,     L2 msmx,6.98,
1301,   6/4/2024, 00:55:55.760250,   6/4/2024, 00:55:55.582096,      Primary,2,0,-220,3110,7410,0.21,187.75,9,11.1,21.9,2.1,1000000,     L2 msmx,9.16,
1452,   6/4/2024, 01:01:49.437500,   6/4/2024, 01:01:49.291584,      Primary,2,0,-1080,2910,7210,-0.09,145.07,9,11.6,25.1,1.7,1000000,     L2 msmx,9.4,
1464,   6/4/2024, 01:02:15.622250,   6/4/2024, 01:02:15.536793,      Primary,2,0,-200,3100,7410,0.34,187.75,9,33.3,45.1,2.4,1000000,     L2 msmx,8.34,
1466,   6/4/2024, 01:02:23.849000,   6/4/2024, 01:02:23.665735,      Primary,2,0,-1000,2400,7240,0.33,187.75,9,15.2,28.7,1.9,1000000,     L2 msmx,12.81,
1493,   6/4/2024, 01:03:30.899000,   6/4/2024, 01:03:30.735672,      Primary,2,0,-1070,2410,6880,0.46,187.75,9,37.4,42.0,3.9,1000000,     L2 msmx,18.16,
1584,   6/4/2024, 01:07:35.536000,   6/4/2024, 01:07:35.351456,      Primary,2,0,-930,2380,7180,0.5,187.75,9,23.7,33.2,4.2,1000000,     L2 msmx,15.99,
