Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
608.0,   5/4/2024, 22:39:10.990750,   5/4/2024, 22:39:10.777780,      Primary,2.0,0.0,160.0,2900.0,7740.0,-0.31,39.68,8.0,4.3,7.0,1.7,1000000.0,     L2 msmx,7.92,
726.0,   5/4/2024, 22:45:03.681500,   5/4/2024, 22:45:03.564723,      Primary,2.0,0.0,-700.0,3170.0,7180.0,-0.01,187.75,8.0,6.9,13.1,1.8,1000000.0,     L2 msmx,8.28,
743.0,   5/4/2024, 22:45:51.164500,   5/4/2024, 22:45:50.951958,      Primary,2.0,0.0,150.0,2880.0,7750.0,-0.22,53.99,8.0,4.5,12.9,2.0,1000000.0,     L2 msmx,8.49,
753.0,   5/4/2024, 22:46:22.687500,   5/4/2024, 22:46:22.500324,      Primary,2.0,0.0,-990.0,2390.0,7220.0,-0.19,69.97,8.0,5.0,10.8,2.1,1000000.0,     L2 msmx,8.18,
768.0,   5/4/2024, 22:46:54.534500,   5/4/2024, 22:46:54.324600,      Primary,2.0,0.0,90.0,2920.0,7680.0,-0.17,37.21,8.0,5.1,10.0,2.4,1000000.0,     L2 msmx,7.97,
791.0,   5/4/2024, 22:48:04.349750,   5/4/2024, 22:48:04.166037,      Primary,2.0,0.0,-890.0,3170.0,7190.0,-0.18,94.05,8.0,5.4,11.8,1.6,1000000.0,     L2 msmx,8.0,
815.0,   5/4/2024, 22:49:08.927500,   5/4/2024, 22:49:08.693252,      Primary,2.0,0.0,-1540.0,2510.0,8280.0,0.25,187.75,8.0,11.1,24.5,3.3,1000000.0,     L2 msmx,10.05,
853.0,   5/4/2024, 22:50:55.788250,   5/4/2024, 22:50:55.556145,      Primary,2.0,0.0,-1050.0,2430.0,8630.0,0.4,187.75,8.0,13.0,35.9,3.5,1000000.0,     L2 msmx,12.49,
872.0,   5/4/2024, 22:51:53.213250,   5/4/2024, 22:51:53.283550,      Primary,2.0,0.0,-1590.0,2520.0,7610.0,-0.24,40.06,8.0,6.5,10.7,2.6,1000000.0,     L2 msmx,6.87,
949.0,   5/4/2024, 22:55:30.096250,   5/4/2024, 22:55:29.910822,      Primary,2.0,0.0,-730.0,2380.0,7000.0,-0.31,51.2,8.0,5.7,11.3,1.9,1000000.0,     L2 msmx,8.69,
957.0,   5/4/2024, 22:55:53.307750,   5/4/2024, 22:55:53.133823,      Primary,2.0,0.0,-1040.0,2400.0,6990.0,-0.13,144.2,8.0,7.0,10.5,1.9,1000000.0,     L2 msmx,8.31,
982.0,   5/4/2024, 22:56:57.826750,   5/4/2024, 22:56:57.636559,      Primary,2.0,0.0,-1310.0,2470.0,7010.0,-0.41,61.01,8.0,4.2,7.8,1.6,1000000.0,     L2 msmx,9.39,
1029.0,   5/4/2024, 22:58:52.116250,   5/4/2024, 22:58:51.940590,      Primary,2.0,0.0,-1080.0,2340.0,7290.0,0.95,187.75,8.0,29.7,56.3,2.8,1000000.0,     L2 msmx,39.52,
1031.0,   5/4/2024, 22:59:01.460000,   5/4/2024, 22:59:01.237744,      Primary,2.0,0.0,320.0,3130.0,8000.0,-0.02,86.91,8.0,7.0,9.3,1.9,1000000.0,     L2 msmx,8.98,
1083.0,   5/4/2024, 23:01:15.075750,   5/4/2024, 23:01:14.892328,      Primary,2.0,0.0,-950.0,2380.0,7150.0,-0.09,106.42,8.0,6.4,17.3,2.1,1000000.0,     L2 msmx,8.63,
1105.0,   5/4/2024, 23:02:18.494000,   5/4/2024, 23:02:18.394333,      Primary,2.0,0.0,-770.0,3130.0,7130.0,0.15,187.75,8.0,8.1,12.4,2.0,1000000.0,     L2 msmx,11.35,
1110.0,   5/4/2024, 23:02:31.699000,   5/4/2024, 23:02:31.517490,      Primary,2.0,0.0,-210.0,3140.0,7430.0,-0.04,110.96,8.0,5.8,14.8,1.8,1000000.0,     L2 msmx,7.7,
