Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
2000,   6/4/2024, 13:31:06.387750,   6/4/2024, 13:31:06.559551,      Primary,2,0,-640,2300,8370,0.18,98.08,9,5.1,55.5,3,1000000,     L2 msmx,6.68
2074,   6/4/2024, 13:33:21.881250,   6/4/2024, 13:33:21.649675,      Primary,2,0,-2020,2190,8000,0.62,187.75,9,9.5,19.3,2.7,1000000,     L2 msmx,11.89
2172,   6/4/2024, 13:36:18.709000,   6/4/2024, 13:36:18.515587,      Primary,2,0,-1680,2350,7360,0.35,187.75,9,12.6,36.3,3.2,1000000,     L2 msmx,9.12
2193,   6/4/2024, 13:37:02.596000,   6/4/2024, 13:37:02.391731,      Primary,2,0,-1640,2280,7630,-0.19,54.2,9,5.7,10.7,1.7,1000000,     L2 msmx,7.18
2203,   6/4/2024, 13:37:24.536750,   6/4/2024, 13:37:24.313116,      Primary,2,0,-1910,2140,8020,-0.07,65.82,9,3.8,6.2,1.4,1000000,     L2 msmx,9.6
2217,   6/4/2024, 13:37:53.702500,   6/4/2024, 13:37:53.564846,      Primary,2,0,-1980,2230,7800,0.34,187.75,9,16.3,43.5,3.6,1000000,     L2 msmx,7.46
2239,   6/4/2024, 13:38:44.241750,   6/4/2024, 13:38:44.172901,      Primary,2,0,-1950,2250,7720,0.16,187.75,9,6.1,20.9,2,1000000,     L2 msmx,6.62
2280,   6/4/2024, 13:39:56.786000,   6/4/2024, 13:39:56.820042,      Primary,2,0,-1120,2510,6300,0.3,187.75,9,33.2,58.8,3.1,1000000,     L2 msmx,6.62
2331,   6/4/2024, 13:41:35.345750,   6/4/2024, 13:41:35.275742,      Primary,2,0,-540,2340,6380,0.51,187.75,9,8.1,17.5,3.8,1000000,     L2 msmx,8.21
2370,   6/4/2024, 13:42:47.496750,   6/4/2024, 13:42:47.390316,      Primary,2,0,-1320,2450,6440,0.15,187.75,9,26.1,45.7,1.7,1000000,     L2 msmx,6.8
2372,   6/4/2024, 13:42:53.489500,   6/4/2024, 13:42:53.288536,      Primary,2,0,-1950,2320,7570,0,187.75,9,8.6,30.5,1.7,1000000,     L2 msmx,7.15
2440,   6/4/2024, 13:44:59.813000,   6/4/2024, 13:44:59.600800,      Primary,2,0,-1680,2160,7960,0,93.33,9,5,16.5,2.2,1000000,     L2 msmx,7.23
2511,   6/4/2024, 13:47:34.489750,   6/4/2024, 13:47:34.290638,      Primary,2,0,-2000,2270,7740,1.06,187.75,9,42.8,75.4,3.3,1000000,     L2 msmx,21.27
2551,   6/4/2024, 13:48:52.624000,   6/4/2024, 13:48:52.402485,      Primary,2,0,-1970,2190,7850,0.04,114.26,9,7.1,21.1,1.6,1000000,     L2 msmx,7.2
2746,   6/4/2024, 13:55:27.962250,   6/4/2024, 13:55:27.745146,      Primary,2,0,-1780,2270,7560,-0.15,64.93,9,4,6.4,1.9,1000000,     L2 msmx,11.06
2796,   6/4/2024, 13:57:05.890250,   6/4/2024, 13:57:05.664892,      Primary,2,0,-2000,2140,7940,-0.08,77.78,9,3.7,7,1.5,1000000,     L2 msmx,8.82
2824,   6/4/2024, 13:58:07.203750,   6/4/2024, 13:58:06.990633,      Primary,2,0,-1660,2230,7830,0.47,187.75,9,17.5,49.2,4.1,1000000,     L2 msmx,11.23
2850,   6/4/2024, 13:58:58.431000,   6/4/2024, 13:58:58.216156,      Primary,2,0,-1660,2240,7830,0.6,187.75,9,12,28.2,3.6,1000000,     L2 msmx,13.26
2968,   6/4/2024, 14:02:46.134500,   6/4/2024, 14:02:46.205482,      Primary,2,0,-1620,2160,8050,-0.17,51.31,9,6.5,14.1,1.9,1000000,     L2 msmx,6.78
3033,   6/4/2024, 14:05:06.589750,   6/4/2024, 14:05:06.426793,      Primary,2,0,-2030,2200,7960,0.12,75.54,9,4.3,10.1,1.7,1000000,     L2 msmx,7.45
3039,   6/4/2024, 14:05:18.932750,   6/4/2024, 14:05:18.912783,      Primary,2,0,-1740,2300,7790,-0.13,69.17,9,7,11,1.9,1000000,     L2 msmx,6.94
3053,   6/4/2024, 14:05:43.751250,   6/4/2024, 14:05:43.542233,      Primary,2,0,-2120,2300,7670,0.31,187.75,9,4.7,82.8,2.7,1000000,     L2 msmx,7.69
3178,   6/4/2024, 14:10:06.713250,   6/4/2024, 14:10:06.904393,      Primary,2,0,-1640,2370,7360,-0.15,74.58,9,5.9,12.2,2.8,1000000,     L2 msmx,7
3183,   6/4/2024, 14:10:16.948750,   6/4/2024, 14:10:16.743145,      Primary,2,0,-1690,2320,7480,0.32,187.75,9,12.9,27.8,3.6,1000000,     L2 msmx,11.45
3351,   6/4/2024, 14:15:51.075000,   6/4/2024, 14:15:50.919849,      Primary,2,0,-1970,2300,7430,0.06,117.15,9,7.1,15.6,2.4,1000000,     L2 msmx,7.1
3432,   6/4/2024, 14:18:15.299250,   6/4/2024, 14:18:15.045090,      Primary,2,0,-1960,2140,8080,0.54,187.75,9,5.2,8.6,2.2,1000000,     L2 msmx,28.5
3494,   6/4/2024, 14:20:09.387000,   6/4/2024, 14:20:09.231718,      Primary,2,0,-990,2480,6460,0.43,187.75,9,33,57.2,2.6,1000000,     L2 msmx,7.53
3539,   6/4/2024, 14:21:41.901000,   6/4/2024, 14:21:41.675446,      Primary,2,0,-1710,2170,7990,-0.15,42.97,9,5,9.3,2.2,1000000,     L2 msmx,8.23
3784,   6/4/2024, 14:29:21.217000,   6/4/2024, 14:29:20.999922,      Primary,2,0,-1830,2300,7680,0.37,187.75,9,14.1,29.2,3.6,1000000,     L2 msmx,12.14
3802,   6/4/2024, 14:30:01.233250,   6/4/2024, 14:30:00.973753,      Primary,2,0,-1760,2230,7860,0.07,80.47,9,3.9,6.4,1.6,1000000,     L2 msmx,13.18
3825,   6/4/2024, 14:30:45.165500,   6/4/2024, 14:30:44.941326,      Primary,2,0,-2160,2280,7680,-0.11,78.49,9,5.1,17.9,1.7,1000000,     L2 msmx,7.17
3864,   6/4/2024, 14:31:57.211750,   6/4/2024, 14:31:57.119747,      Primary,2,0,-2200,2450,6920,0.23,187.75,9,7.9,26.2,2.5,1000000,     L2 msmx,6.86
3866,   6/4/2024, 14:32:04.271000,   6/4/2024, 14:32:04.052351,      Primary,2,0,-1600,2130,8020,-0.18,45.95,9,4,6.9,1.8,1000000,     L2 msmx,8.89
3876,   6/4/2024, 14:32:22.338250,   6/4/2024, 14:32:22.099369,      Primary,2,0,-2070,2300,7660,-0.04,98.91,9,4.2,7.2,1.9,1000000,     L2 msmx,10.01
3907,   6/4/2024, 14:33:28.920250,   6/4/2024, 14:33:28.803558,      Primary,2,0,-360,2260,6530,0.68,187.75,9,72.7,79.9,4.1,1000000,     L2 msmx,14.81
3976,   6/4/2024, 14:36:01.209250,   6/4/2024, 14:36:01.049888,      Primary,2,0,-660,2490,6300,0.67,187.75,9,62.8,100.5,4.6,1000000,     L2 msmx,11.74
