Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
3451,   3/4/2024, 13:55:33.345000,   3/4/2024, 13:55:33.216434,      Primary,2,0,-930,3170,7770,0.35,187.75,3,37.7,70.1,2.1,1000000,     L2 msmx,22.66,
3466,   3/4/2024, 13:56:14.693500,   3/4/2024, 13:56:14.681652,      Primary,2,0,-410,3070,8250,0.32,284.38,3,19.0,21.2,2.5,1000000,     L2 msmx,8.53,
3470,   3/4/2024, 13:56:26.522750,   3/4/2024, 13:56:26.385616,      Primary,2,0,-730,3140,7920,0.28,327.56,3,23.1,51.9,2.4,1000000,     L2 msmx,16.64,
3635,   3/4/2024, 14:04:28.049750,   3/4/2024, 14:04:27.898588,      Primary,2,0,-450,3040,8180,0.32,229.89,3,18.9,63.7,1.8,1000000,     L2 msmx,10.34,
3636,   3/4/2024, 14:04:31.959750,   3/4/2024, 14:04:31.833864,      Primary,2,0,-530,3160,7930,0.06,106.01,3,33.2,52.9,2.0,1000000,     L2 msmx,16.26,
3664,   3/4/2024, 14:06:01.029750,   3/4/2024, 14:06:00.877557,      Primary,2,0,-1250,3010,8190,0.46,205.04,3,72.2,137.5,3.0,1000000,     L2 msmx,11.39,
3764,   3/4/2024, 14:10:45.757750,   3/4/2024, 14:10:45.630535,      Primary,2,0,-960,3220,7720,-0.03,78.79,3,16.6,39.0,1.6,1000000,     L2 msmx,16.08,
3779,   3/4/2024, 14:11:31.046000,   3/4/2024, 14:11:30.911411,      Primary,2,0,-640,3200,7920,0.26,187.75,3,23.2,38.8,2.1,1000000,     L2 msmx,19.54,
3786,   3/4/2024, 14:11:51.613750,   3/4/2024, 14:11:51.452850,      Primary,2,0,-350,3130,8220,0.53,428.58,3,16.1,39.3,3.0,1000000,     L2 msmx,17.71,
3820,   3/4/2024, 14:13:37.016250,   3/4/2024, 14:13:36.894211,      Primary,2,0,-930,3140,7650,0.27,312.07,3,18.1,45.3,2.3,1000000,     L2 msmx,20.56,
4054,   3/4/2024, 14:25:41.166500,   3/4/2024, 14:25:41.029915,      Primary,2,0,-580,3220,7870,0.13,185.41,3,19.5,23.6,1.9,1000000,     L2 msmx,22.22,
4253,   3/4/2024, 14:35:43.809500,   3/4/2024, 14:35:43.658855,      Primary,2,0,-400,3080,8200,0.31,187.75,3,31.7,137.4,2.2,1000000,     L2 msmx,11.71,
4271,   3/4/2024, 14:36:51.029500,   3/4/2024, 14:36:50.910530,      Primary,2,0,-1030,3180,7690,0.4,348.93,3,56.3,123.0,3.3,1000000,     L2 msmx,21.24,
4383,   3/4/2024, 14:43:23.091250,   3/4/2024, 14:43:22.959053,      Primary,2,0,-1010,3180,7770,-0.07,94.14,3,23.7,28.9,2.1,1000000,     L2 msmx,13.5,
