Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
141,   3/4/2024, 18:08:41.814500,   3/4/2024, 18:08:41.663956,      Primary,2,0,-230,3180,8090,0.47,354.21,4,67.2,143.7,2.6,1000000,     L2 msmx,16.79
322,   3/4/2024, 18:21:25.250500,   3/4/2024, 18:21:25.284988,      Primary,2,0,-720,3300,7580,-0.09,79.53,4,5.7,117.4,1.9,1000000,     L2 msmx,7.57
466,   3/4/2024, 18:30:44.230500,   3/4/2024, 18:30:44.084011,      Primary,2,0,-990,3220,7690,0.12,184.5,4,48.7,127.7,2.3,1000000,     L2 msmx,17.74
470,   3/4/2024, 18:31:00.484250,   3/4/2024, 18:31:00.320644,      Primary,2,0,-1100,3030,8170,0.24,233.72,4,56.3,177.8,2.6,1000000,     L2 msmx,15.71
582,   3/4/2024, 18:38:47.581750,   3/4/2024, 18:38:47.372597,      Primary,2,0,-1370,3190,8520,-0.34,19.95,4,5.3,15.6,1.8,1000000,     L2 msmx,7.34
602,   3/4/2024, 18:40:31.714250,   3/4/2024, 18:40:31.542875,      Primary,2,0,-1430,3130,8080,0.21,145.12,4,35.1,80.9,2.4,1000000,     L2 msmx,12.84
650,   3/4/2024, 18:43:02.182500,   3/4/2024, 18:43:02.016789,      Primary,2,0,-1150,2990,8130,0.21,198.01,4,15.6,50.4,2.4,1000000,     L2 msmx,14.72
686,   3/4/2024, 18:44:59.862250,   3/4/2024, 18:44:59.694088,      Primary,2,0,-1470,2990,8050,0.49,398.51,4,69.2,147.4,3.6,1000000,     L2 msmx,16.06
756,   3/4/2024, 18:49:15.798000,   3/4/2024, 18:49:15.628090,      Primary,2,0,-1360,2990,8200,0.05,179.15,4,10.9,19.2,2.5,1000000,     L2 msmx,9.55
786,   3/4/2024, 18:50:55.828000,   3/4/2024, 18:50:55.667309,      Primary,2,0,-720,3040,8350,0.47,399.17,4,37.1,131.2,2.7,1000000,     L2 msmx,17.97
856,   3/4/2024, 18:54:36.554250,   3/4/2024, 18:54:36.411205,      Primary,2,0,-990,3180,7720,0.25,197.35,4,35.7,49.6,2.4,1000000,     L2 msmx,20.19
858,   3/4/2024, 18:54:46.454750,   3/4/2024, 18:54:46.486778,      Primary,2,0,-1140,2940,8140,0.07,198.33,4,9.9,17.9,2.1,1000000,     L2 msmx,6.85
892,   3/4/2024, 18:56:30.111000,   3/4/2024, 18:56:29.949099,      Primary,2,0,-1350,3020,7940,0.23,179.98,4,52.2,132,2.7,1000000,     L2 msmx,11.75
915,   3/4/2024, 18:57:35.312750,   3/4/2024, 18:57:35.359291,      Primary,2,0,-1420,3080,8140,0.08,56.4,4,5.1,7.9,2.2,1000000,     L2 msmx,11.92
918,   3/4/2024, 18:57:44.760750,   3/4/2024, 18:57:44.593830,      Primary,2,0,-1100,2960,8180,0.13,106.3,4,10.8,26.9,2.1,1000000,     L2 msmx,13.85
923,   3/4/2024, 18:58:01.172500,   3/4/2024, 18:58:01.026913,      Primary,2,0,-220,3480,7940,-0.33,46.72,4,8.7,24.6,1.9,1000000,     L2 msmx,7.41
926,   3/4/2024, 18:58:10.971250,   3/4/2024, 18:58:10.798134,      Primary,2,0,-1270,3050,8260,0.21,133.61,4,36.3,76.3,2.8,1000000,     L2 msmx,9.93
951,   3/4/2024, 18:59:32.661250,   3/4/2024, 18:59:32.579586,      Primary,2,0,-720,3050,8140,-0.02,77.12,4,14.4,17.1,1.7,1000000,     L2 msmx,14.23
969,   3/4/2024, 19:00:35.113750,   3/4/2024, 19:00:35.007076,      Primary,2,0,-1120,3000,8070,0.04,102.57,4,11.7,33,2.3,1000000,     L2 msmx,11.62
1035,   3/4/2024, 19:03:44.829000,   3/4/2024, 19:03:44.676392,      Primary,2,0,-220,3110,8170,0.05,140.12,4,17.3,46.5,2.7,1000000,     L2 msmx,9.17
1284,   3/4/2024, 19:15:46.573750,   3/4/2024, 19:15:46.420128,      Primary,2,0,-1210,3250,7760,0.39,187.75,4,17,25.6,2.4,1000000,     L2 msmx,14.64
1371,   3/4/2024, 19:19:31.741000,   3/4/2024, 19:19:31.586000,      Primary,2,0,-200,3110,8150,0.32,417.1,4,17.3,45.6,3.2,1000000,     L2 msmx,13.66
1376,   3/4/2024, 19:19:49.289250,   3/4/2024, 19:19:49.152653,      Primary,2,0,-610,3280,7680,0.12,174.59,4,19.9,68.5,2,1000000,     L2 msmx,14.12
1399,   3/4/2024, 19:21:07.221500,   3/4/2024, 19:21:07.058997,      Primary,2,0,-830,3020,8240,0.32,158.75,4,19.9,43.4,2.5,1000000,     L2 msmx,12.79
1491,   3/4/2024, 19:25:17.748500,   3/4/2024, 19:25:17.541460,      Primary,2,0,-400,3070,8220,0.24,174.78,4,9.6,28.8,2.1,1000000,     L2 msmx,10.33
1492,   3/4/2024, 19:25:23.890250,   3/4/2024, 19:25:23.727253,      Primary,2,0,-1100,3010,8160,0.26,168.48,4,12.5,31.1,2.4,1000000,     L2 msmx,14.8
1499,   3/4/2024, 19:25:53.391500,   3/4/2024, 19:25:53.213680,      Primary,2,0,-1590,3070,8000,-0.06,52.87,4,14.8,29.1,2.2,1000000,     L2 msmx,9.06
1526,   3/4/2024, 19:27:25.250500,   3/4/2024, 19:27:25.523279,      Primary,2,0,-590,2940,8430,0,117.18,4,6.6,19.1,2.9,1000000,     L2 msmx,6.85
