Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
171,   7/4/2024, 02:37:45.416750,   7/4/2024, 02:37:45.610508,      Primary,2,0,-2220,2290,7680,0.14,187.75,10,6.1,9.8,2.9,1000000,     L2 msmx,8.15,16B_StrainRate_20240407T083740+0000_34954.h5
523,   7/4/2024, 02:49:17.107250,   7/4/2024, 02:49:16.935137,      Primary,2,0,-820,2350,8480,-0.04,44.73,10,7.8,11.8,1.9,1000000,     L2 msmx,8.51,16B_StrainRate_20240407T084916+0000_35012.h5
612,   7/4/2024, 02:52:21.319000,   7/4/2024, 02:52:21.085981,      Primary,2,0,-2030,2320,8150,0.36,187.75,10,3.8,6.6,2.2,1000000,     L2 msmx,18.68,16B_StrainRate_20240407T085216+0000_35027.h5
631,   7/4/2024, 02:53:06.971750,   7/4/2024, 02:53:06.808743,      Primary,2,0,-200,2110,6540,-0.19,24.03,10,9.1,13.7,1.4,1000000,     L2 msmx,9.36,16B_StrainRate_20240407T085304+0000_35031.h5
663,   7/4/2024, 02:54:10.760000,   7/4/2024, 02:54:10.551304,      Primary,2,0,-2400,2290,7680,0.15,138.84,10,19.0,36.6,2.6,1000000,     L2 msmx,10.07,16B_StrainRate_20240407T085404+0000_35036.h5
780,   7/4/2024, 02:58:03.316500,   7/4/2024, 02:58:03.558356,      Primary,2,0,-1770,2450,8200,0.53,187.75,10,13.3,27.5,2.5,1000000,     L2 msmx,8.14,16B_StrainRate_20240407T085752+0000_35055.h5
859,   7/4/2024, 03:01:01.324000,   7/4/2024, 03:01:01.311561,      Primary,2,0,-2300,2250,7980,0.21,176.06,10,10.0,21.4,2.6,1000000,     L2 msmx,8.22,16B_StrainRate_20240407T090052+0000_35070.h5
997,   7/4/2024, 03:05:30.135000,   7/4/2024, 03:05:29.909391,      Primary,2,0,-300,2040,9220,-0.11,73.84,10,5.1,11.5,1.4,1000000,     L2 msmx,8.55,16B_StrainRate_20240407T090528+0000_35093.h5
1127,   7/4/2024, 03:09:42.875250,   7/4/2024, 03:09:42.669861,      Primary,2,0,110,2400,8190,-0.25,52.62,10,10.4,10.5,2.3,1000000,     L2 msmx,8.57,16B_StrainRate_20240407T090940+0000_35114.h5
1359,   7/4/2024, 03:17:23.571250,   7/4/2024, 03:17:23.298321,      Primary,2,0,-1860,2260,7300,0.06,187.75,10,3.4,4.2,1.4,1000000,     L2 msmx,36.52,16B_StrainRate_20240407T091716+0000_35152.h5
