Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
1923,   4/4/2024, 08:30:47.928000,   4/4/2024, 08:30:47.788181,      Primary,2,0,-1390,3240,7910,0.6,284.58,6,33.0,68.5,2.6,1000000,     L2 msmx,13.36,
1932,   4/4/2024, 08:31:16.294000,   4/4/2024, 08:31:16.161430,      Primary,2,0,-890,2930,8240,0.38,207.36,6,34.9,44.4,2.9,1000000,     L2 msmx,14.56,
1964,   4/4/2024, 08:32:53.998250,   4/4/2024, 08:32:53.836311,      Primary,2,0,-640,2970,8610,0.17,124.62,6,10.1,20.2,3.1,1000000,     L2 msmx,9.65,
1966,   4/4/2024, 08:33:14.216250,   4/4/2024, 08:33:14.089428,      Primary,2,0,-390,2950,7900,0.52,339.27,6,134.0,136.2,2.4,1000000,     L2 msmx,17.33,
2082,   4/4/2024, 08:39:11.271750,   4/4/2024, 08:39:11.105421,      Primary,2,0,-730,2930,8290,0.43,130.08,6,22.7,41.1,3.6,1000000,     L2 msmx,15.4,
2203,   4/4/2024, 08:45:21.171750,   4/4/2024, 08:45:21.016262,      Primary,2,0,-80,3010,8460,0.32,492.75,6,7.2,10.2,2.4,1000000,     L2 msmx,11.45,
2257,   4/4/2024, 08:48:14.560750,   4/4/2024, 08:48:14.374540,      Primary,2,0,-580,2830,8690,0.06,46.12,6,8.0,13.3,2.2,1000000,     L2 msmx,8.26,
2335,   4/4/2024, 08:52:38.499500,   4/4/2024, 08:52:38.211086,      Primary,2,0,-510,2840,8200,-0.09,116.55,6,6.3,21.2,2.7,1000000,     L2 msmx,24.51,
2344,   4/4/2024, 08:53:04.536250,   4/4/2024, 08:53:04.370033,      Primary,2,0,-460,2990,8220,-0.02,56.99,6,9.3,17.9,2.5,1000000,     L2 msmx,10.8,
2347,   4/4/2024, 08:53:15.905000,   4/4/2024, 08:53:15.745049,      Primary,2,0,-1220,2950,7870,0.57,210.64,6,25.5,59.2,3.2,1000000,     L2 msmx,17.89,
2565,   4/4/2024, 09:05:37.331750,   4/4/2024, 09:05:37.509075,      Primary,2,0,-1300,2990,7760,0.37,160.6,6,36.1,43.8,2.4,1000000,     L2 msmx,6.3,
2703,   4/4/2024, 09:13:29.726250,   4/4/2024, 09:13:29.555506,      Primary,2,0,-110,3030,8250,-0.01,70.48,6,8.3,12.5,1.9,1000000,     L2 msmx,8.02,
2760,   4/4/2024, 09:16:40.053500,   4/4/2024, 09:16:39.908054,      Primary,2,0,-180,3180,7910,0.08,219.64,6,19.9,32.8,3.4,1000000,     L2 msmx,10.39,
2877,   4/4/2024, 09:23:07.264750,   4/4/2024, 09:23:07.107591,      Primary,2,0,-940,2880,8150,0.6,288.08,6,25.0,61.3,4.0,1000000,     L2 msmx,16.77,
3025,   4/4/2024, 09:31:14.536750,   4/4/2024, 09:31:14.367711,      Primary,2,0,-1740,3130,8220,0.22,187.75,6,8.2,18.2,2.5,1000000,     L2 msmx,12.43,
3057,   4/4/2024, 09:33:02.587250,   4/4/2024, 09:33:02.431191,      Primary,2,0,-1440,3070,8120,0.36,334.31,6,28.8,118.1,4.1,1000000,     L2 msmx,13.38,
3078,   4/4/2024, 09:34:27.192750,   4/4/2024, 09:34:27.028566,      Primary,2,0,-250,2950,8420,0.36,187.75,6,24.4,72.5,2.9,1000000,     L2 msmx,10.86,
3124,   4/4/2024, 09:37:13.730750,   4/4/2024, 09:37:13.569620,      Primary,2,0,-1180,2970,7930,0.12,82.87,6,7.4,14.3,2.6,1000000,     L2 msmx,10.62,
3150,   4/4/2024, 09:38:41.343500,   4/4/2024, 09:38:41.397923,      Primary,2,0,20,3060,8040,0.64,537.21,6,33.3,68.3,5.1,1000000,     L2 msmx,6.58,
3273,   4/4/2024, 09:46:28.115500,   4/4/2024, 09:46:28.272240,      Primary,2,0,-560,2790,8490,-0.05,79.97,6,6.3,10.7,2.2,1000000,     L2 msmx,6.94,
3291,   4/4/2024, 09:47:25.331750,   4/4/2024, 09:47:25.158569,      Primary,2,0,-660,2840,8480,0.2,124.44,6,11.2,26.3,2.9,1000000,     L2 msmx,9.8,
