Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
97,   6/4/2024, 20:48:41.973500,   6/4/2024, 20:48:41.773045,      Primary,2,0,-2000,2320,7560,0.23,187.75,10,7.2,25.6,2.3,1000000,     L2 msmx,7.44,16B_StrainRate_20240407T024840+0000_33209.h5
137,   6/4/2024, 20:49:58.772500,   6/4/2024, 20:49:58.883198,      Primary,2,0,-1880,2240,7700,0.06,140.67,10,7.6,13.5,2.5,1000000,     L2 msmx,6.52,16B_StrainRate_20240407T024952+0000_33215.h5
150,   6/4/2024, 20:50:16.224250,   6/4/2024, 20:50:16.339676,      Primary,2,0,-1760,2290,7640,-0.12,97.58,10,3.9,6.3,2.2,1000000,     L2 msmx,6.72,16B_StrainRate_20240407T025016+0000_33217.h5
296,   6/4/2024, 20:54:53.594500,   6/4/2024, 20:54:53.410408,      Primary,2,0,-1940,2300,7380,-0.31,59.79,10,7.5,24.5,1.5,1000000,     L2 msmx,6.83,16B_StrainRate_20240407T025452+0000_33240.h5
428,   6/4/2024, 20:59:14.654750,   6/4/2024, 20:59:14.448897,      Primary,2,0,-1960,2160,8110,0.21,118.66,10,13.8,75.8,1.8,1000000,     L2 msmx,7.02,16B_StrainRate_20240407T025904+0000_33261.h5
506,   6/4/2024, 21:01:56.206750,   6/4/2024, 21:01:55.986389,      Primary,2,0,-2180,2340,8050,0.53,187.75,10,22.2,75.1,2.8,1000000,     L2 msmx,7.85,16B_StrainRate_20240407T030152+0000_33275.h5
750,   6/4/2024, 21:10:06.794000,   6/4/2024, 21:10:06.598068,      Primary,2,0,-2140,2260,7750,0.62,187.75,10,30.4,45.0,3.6,1000000,     L2 msmx,11.71,16B_StrainRate_20240407T031004+0000_33316.h5
772,   6/4/2024, 21:10:51.137750,   6/4/2024, 21:10:51.159222,      Primary,2,0,-2100,2160,7750,0.26,187.75,10,9.5,21.3,2.2,1000000,     L2 msmx,6.92,16B_StrainRate_20240407T031040+0000_33319.h5
773,   6/4/2024, 21:10:52.507500,   6/4/2024, 21:10:52.217598,      Primary,2,0,-2150,2350,7650,0.03,140.72,10,4.1,6.2,2.3,1000000,     L2 msmx,23.25,16B_StrainRate_20240407T031052+0000_33320.h5
820,   6/4/2024, 21:12:19.262250,   6/4/2024, 21:12:19.143082,      Primary,2,0,-1120,2490,6380,-0.19,163.73,10,28.2,74.6,1.7,1000000,     L2 msmx,6.55,16B_StrainRate_20240407T031216+0000_33327.h5
879,   6/4/2024, 21:14:25.305250,   6/4/2024, 21:14:25.247078,      Primary,2,0,-2190,2320,7690,-0.24,47.92,10,5.4,11.6,2.1,1000000,     L2 msmx,6.63,16B_StrainRate_20240407T031416+0000_33337.h5
