Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
7,   4/4/2024, 13:38:50.220000,   4/4/2024, 13:38:49.859238,      Primary,2,0,-40,3120,8530,0.41,187.75,7,8.2,12.5,2.3,1000000,     L2 msmx,35.02
171,   4/4/2024, 13:49:53.345500,   4/4/2024, 13:49:53.206562,      Primary,2,0,-70,3280,7790,-0.37,58.6,7,29.7,61.6,1.6,1000000,     L2 msmx,7.52
225,   4/4/2024, 13:53:17.863500,   4/4/2024, 13:53:17.716820,      Primary,2,0,-1270,3410,7470,0.06,175.12,7,18.3,69.9,2.5,1000000,     L2 msmx,10.19
267,   4/4/2024, 13:55:51.783000,   4/4/2024, 13:55:51.606907,      Primary,2,0,270,3400,8080,-0.04,150.97,7,12.4,28.4,2,1000000,     L2 msmx,7.86
527,   4/4/2024, 14:11:59.492500,   4/4/2024, 14:11:59.409981,      Primary,2,0,-90,3280,7430,-0.1,116.04,7,25.7,40.8,2.3,1000000,     L2 msmx,6.77
553,   4/4/2024, 14:13:26.331000,   4/4/2024, 14:13:26.184259,      Primary,2,0,10,3050,8130,0.63,524.03,7,32.7,57.4,4.5,1000000,     L2 msmx,18.27
754,   4/4/2024, 14:24:44.815500,   4/4/2024, 14:24:44.675510,      Primary,2,0,-110,3090,8000,0.54,515.06,7,49.6,97,3.4,1000000,     L2 msmx,20.31
755,   4/4/2024, 14:24:46.389750,   4/4/2024, 14:24:46.125351,      Primary,2,0,0,3170,8000,-0.04,181.25,7,6.5,13.5,2.4,1000000,     L2 msmx,33.01
760,   4/4/2024, 14:25:03.278750,   4/4/2024, 14:25:03.121049,      Primary,2,0,-740,2750,8200,0.4,307.18,7,18.4,43.1,3.3,1000000,     L2 msmx,16.16
828,   4/4/2024, 14:29:13.786500,   4/4/2024, 14:29:13.645361,      Primary,2,0,-1050,3420,7440,-0.06,163.07,7,8.5,18,2.6,1000000,     L2 msmx,10.72
844,   4/4/2024, 14:30:08.982500,   4/4/2024, 14:30:08.780318,      Primary,2,0,-710,2930,8270,0.64,298.33,7,25.9,50.3,3.5,1000000,     L2 msmx,19.75
1110,   4/4/2024, 14:45:53.788250,   4/4/2024, 14:45:53.620129,      Primary,2,0,-580,2780,8500,0.23,154.04,7,21,38.3,2.4,1000000,     L2 msmx,10.86
1165,   4/4/2024, 14:49:19.257750,   4/4/2024, 14:49:19.092991,      Primary,2,0,-1340,2910,8170,0.1,124.35,7,24,37.9,2,1000000,     L2 msmx,9.75
1253,   4/4/2024, 14:55:19.107500,   4/4/2024, 14:55:18.935427,      Primary,2,0,250,3380,8060,-0.1,105.16,7,11.8,20.6,2.2,1000000,     L2 msmx,7.74
1371,   4/4/2024, 15:02:34.154000,   4/4/2024, 15:02:33.987621,      Primary,2,0,-500,3090,8160,0.14,114.23,7,24.8,22.6,2.7,1000000,     L2 msmx,13.56
1411,   4/4/2024, 15:06:58.160500,   4/4/2024, 15:06:57.975826,      Primary,2,0,-190,3030,8720,0.31,187.75,7,6.4,24.1,2.4,1000000,     L2 msmx,12.26
1455,   4/4/2024, 15:10:40.187250,   4/4/2024, 15:10:40.003792,      Primary,2,0,160,3150,8440,-0.09,130.15,7,5.9,12.5,2.2,1000000,     L2 msmx,9.03
1485,   4/4/2024, 15:12:18.723750,   4/4/2024, 15:12:18.564384,      Primary,2,0,-620,2850,8270,0.17,97.43,7,11.3,23.5,2.4,1000000,     L2 msmx,10.74
1525,   4/4/2024, 15:14:33.571000,   4/4/2024, 15:14:33.256989,      Primary,2,0,-450,2890,8220,0.19,190.28,7,16.3,24.7,2.9,1000000,     L2 msmx,48.59
1536,   4/4/2024, 15:15:01.523000,   4/4/2024, 15:15:01.374763,      Primary,2,0,-1000,2940,8670,0.12,110.46,7,21,25.6,2.9,1000000,     L2 msmx,9.06
1537,   4/4/2024, 15:15:06.438750,   4/4/2024, 15:15:06.281634,      Primary,2,0,-820,2930,8330,0.32,80.65,7,16.5,18.8,2.6,1000000,     L2 msmx,10.15
1662,   4/4/2024, 15:22:01.042500,   4/4/2024, 15:22:00.885752,      Primary,2,0,-1190,3000,7830,0.01,66.69,7,6.2,18.3,2.6,1000000,     L2 msmx,10.33
1667,   4/4/2024, 15:22:20.152750,   4/4/2024, 15:22:19.966370,      Primary,2,0,250,3290,8590,0.41,355.97,7,9.4,32.6,2.7,1000000,     L2 msmx,9.85
1716,   4/4/2024, 15:25:19.850250,   4/4/2024, 15:25:19.694574,      Primary,2,0,-1000,2880,8180,0.17,71.96,7,13.4,32.9,2.7,1000000,     L2 msmx,10.59
1792,   4/4/2024, 15:29:37.662000,   4/4/2024, 15:29:37.507046,      Primary,2,0,-1600,3060,7950,-0.01,97.85,7,13.2,29.4,2.7,1000000,     L2 msmx,9.28
1824,   4/4/2024, 15:31:15.411000,   4/4/2024, 15:31:15.234079,      Primary,2,0,-460,2900,8540,0.22,162,7,8.7,16.3,2.1,1000000,     L2 msmx,10.6
1868,   4/4/2024, 15:33:50.467750,   4/4/2024, 15:33:50.290791,      Primary,2,0,-860,2700,8380,0.12,105.32,7,10.6,8.7,3.3,1000000,     L2 msmx,13.73
1958,   4/4/2024, 15:39:32.657000,   4/4/2024, 15:39:32.371521,      Primary,2,0,-790,2910,8570,0.06,136.36,7,8,11.4,2.6,1000000,     L2 msmx,26.77
2102,   4/4/2024, 15:48:21.783000,   4/4/2024, 15:48:21.647284,      Primary,2,0,-360,3200,7750,-0.05,145.3,7,17.8,61.5,2.5,1000000,     L2 msmx,12.4
2194,   4/4/2024, 15:53:13.753250,   4/4/2024, 15:53:13.581599,      Primary,2,0,-1190,2690,8530,0.55,199.39,7,17.3,51.7,2.7,1000000,     L2 msmx,12.64
2503,   4/4/2024, 16:10:59.560000,   4/4/2024, 16:10:59.388561,      Primary,2,0,100,3080,8470,0.31,303.02,7,18,47.2,2.4,1000000,     L2 msmx,10.66
2566,   4/4/2024, 16:14:53.115750,   4/4/2024, 16:14:52.941738,      Primary,2,0,160,3310,8120,-0.04,120.97,7,5.4,7.2,1.4,1000000,     L2 msmx,9.31
2577,   4/4/2024, 16:15:30.850000,   4/4/2024, 16:15:30.721016,      Primary,2,0,-140,3230,7630,0.19,192.46,7,29.6,82.6,2.7,1000000,     L2 msmx,9.73
2635,   4/4/2024, 16:19:10.809250,   4/4/2024, 16:19:10.627272,      Primary,2,0,-950,2740,8720,0.52,207.17,7,11.1,21.4,2.5,1000000,     L2 msmx,10.75
2640,   4/4/2024, 16:19:39.883750,   4/4/2024, 16:19:39.727043,      Primary,2,0,-460,2840,8260,0.45,408.28,7,32.8,58.7,4.2,1000000,     L2 msmx,18.12
2736,   4/4/2024, 16:24:33.713750,   4/4/2024, 16:24:33.399052,      Primary,2,0,170,3180,8540,0.15,207.93,7,7.2,12,2.5,1000000,     L2 msmx,27.27
2775,   4/4/2024, 16:26:50.195000,   4/4/2024, 16:26:50.015995,      Primary,2,0,-290,2960,8720,0.27,325.17,7,14,45.7,2.5,1000000,     L2 msmx,9.03
2861,   4/4/2024, 16:31:25.331500,   4/4/2024, 16:31:25.177967,      Primary,2,0,-1580,3060,7980,-0.07,114.02,7,20,44.3,2.6,1000000,     L2 msmx,9.76
2891,   4/4/2024, 16:33:20.954500,   4/4/2024, 16:33:20.809837,      Primary,2,0,-150,3050,7950,0.33,504.84,7,191.9,188.8,2.6,1000000,     L2 msmx,13.4
2916,   4/4/2024, 16:34:40.194750,   4/4/2024, 16:34:40.063763,      Primary,2,0,-290,3110,7810,0.13,202.3,7,29.3,43.9,2.5,1000000,     L2 msmx,13.6
2991,   4/4/2024, 16:38:43.725500,   4/4/2024, 16:38:43.563004,      Primary,2,0,-400,2880,8160,-0.13,115.04,7,5.7,8.4,2.1,1000000,     L2 msmx,12.57
3079,   4/4/2024, 16:43:12.923750,   4/4/2024, 16:43:12.741766,      Primary,2,0,-1240,2690,8670,0.04,54.97,7,11.3,13.1,2,1000000,     L2 msmx,9.06
3110,   4/4/2024, 16:45:05.856250,   4/4/2024, 16:45:05.688444,      Primary,2,0,-230,2850,8530,-0.07,84.34,7,7.1,14.4,1.9,1000000,     L2 msmx,7.96
3138,   4/4/2024, 16:46:34.153750,   4/4/2024, 16:46:33.959606,      Primary,2,0,70,3120,8670,0.34,171.66,7,42.3,124.6,2.3,1000000,     L2 msmx,9.09
3205,   4/4/2024, 16:50:35.964250,   4/4/2024, 16:50:35.790974,      Primary,2,0,-710,2640,8500,-0.13,86.82,7,17,29.3,2.5,1000000,     L2 msmx,9.21
3235,   4/4/2024, 16:52:23.420750,   4/4/2024, 16:52:23.283272,      Primary,2,0,20,3060,8000,-0.1,161.96,7,39.8,65.8,2.4,1000000,     L2 msmx,8
3328,   4/4/2024, 16:58:32.906500,   4/4/2024, 16:58:32.764595,      Primary,2,0,-1630,3140,8000,0.36,187.75,7,43.2,98,3.2,1000000,     L2 msmx,12.26
3568,   4/4/2024, 17:14:54.956000,   4/4/2024, 17:14:54.795757,      Primary,2,0,-1560,3060,7990,0.15,168.77,7,44,107.4,3.1,1000000,     L2 msmx,10.55
3577,   4/4/2024, 17:15:34.615250,   4/4/2024, 17:15:34.549301,      Primary,2,0,-1690,3130,7980,1.15,531.82,7,55,83.4,4.1,1000000,     L2 msmx,9.36
3581,   4/4/2024, 17:15:59.108250,   4/4/2024, 17:15:58.962975,      Primary,2,0,-780,2930,8620,0.44,187.75,7,7.6,10.7,2.1,1000000,     L2 msmx,25.38
3606,   4/4/2024, 17:17:42.518250,   4/4/2024, 17:17:42.343681,      Primary,2,0,60,3210,8210,-0.17,110.94,7,9.8,9,1.4,1000000,     L2 msmx,8.15
3639,   4/4/2024, 17:19:42.596000,   4/4/2024, 17:19:42.462097,      Primary,2,0,-340,3120,7830,0.13,263.93,7,64,129.2,2.9,1000000,     L2 msmx,14.77
3640,   4/4/2024, 17:19:46.667250,   4/4/2024, 17:19:46.632729,      Primary,2,0,-130,3030,8480,0.28,187.75,7,7.4,18.8,2.7,1000000,     L2 msmx,7.46
3641,   4/4/2024, 17:19:50.184500,   4/4/2024, 17:19:50.034466,      Primary,2,0,-190,3170,7930,0.16,245.92,7,17.5,27.5,2.9,1000000,     L2 msmx,14.52
3645,   4/4/2024, 17:20:03.932250,   4/4/2024, 17:20:03.787544,      Primary,2,0,-170,3110,8030,0.09,284.56,7,26.7,66.1,2.7,1000000,     L2 msmx,9.56
3650,   4/4/2024, 17:20:16.072500,   4/4/2024, 17:20:15.936462,      Primary,2,0,-190,3080,8050,0.12,390.37,7,26.8,63.7,2.3,1000000,     L2 msmx,9.62
3736,   4/4/2024, 17:25:36.603750,   4/4/2024, 17:25:36.421303,      Primary,2,0,0,3050,8670,0.9,536.23,7,42.4,80.4,3.7,1000000,     L2 msmx,17.64
3757,   4/4/2024, 17:27:05.125750,   4/4/2024, 17:27:04.985522,      Primary,2,0,-600,3070,8610,0.21,151.72,7,57.2,148.3,2.5,1000000,     L2 msmx,10.21
3784,   4/4/2024, 17:28:50.129250,   4/4/2024, 17:28:50.022228,      Primary,2,0,-320,3200,7660,-0.1,143.69,7,32.3,77.2,2.1,1000000,     L2 msmx,12.29
3810,   4/4/2024, 17:30:54.631750,   4/4/2024, 17:30:54.499104,      Primary,2,0,20,3050,7970,0.14,309.01,7,89.4,166.6,2.4,1000000,     L2 msmx,10.98
3883,   4/4/2024, 17:36:21.993000,   4/4/2024, 17:36:22.050600,      Primary,2,0,50,3110,8470,0.21,335.59,7,15.4,24.5,2.6,1000000,     L2 msmx,6.82
3923,   4/4/2024, 17:39:41.520250,   4/4/2024, 17:39:41.351696,      Primary,2,0,100,3160,8350,0.51,529.92,7,51.5,88.3,2.9,1000000,     L2 msmx,13.22
3939,   4/4/2024, 17:40:55.367000,   4/4/2024, 17:40:55.222614,      Primary,2,0,0,3240,7740,-0.12,284.78,7,6.5,14.5,2.2,1000000,     L2 msmx,10.57
3985,   4/4/2024, 17:43:41.777750,   4/4/2024, 17:43:41.606522,      Primary,2,0,30,3100,8260,-0.08,112.15,7,14.8,32.9,1.7,1000000,     L2 msmx,7.6
3999,   4/4/2024, 17:44:47.111000,   4/4/2024, 17:44:46.800705,      Primary,2,0,180,3090,8530,0.06,106.31,7,5.3,9.1,2.5,1000000,     L2 msmx,22.15
4035,   4/4/2024, 17:47:15.505500,   4/4/2024, 17:47:15.367561,      Primary,2,0,90,3220,7830,-0.1,144.85,7,35.5,80.6,2.1,1000000,     L2 msmx,9.95
4148,   4/4/2024, 17:55:38.362250,   4/4/2024, 17:55:38.186302,      Primary,2,0,-150,3000,8600,0.32,282.62,7,12.9,30.9,2.9,1000000,     L2 msmx,9.61
4153,   4/4/2024, 17:56:02.544500,   4/4/2024, 17:56:02.404785,      Primary,2,0,130,3200,7820,-0.12,214.78,7,46.1,96.2,2.3,1000000,     L2 msmx,9.58
4155,   4/4/2024, 17:56:11.273500,   4/4/2024, 17:56:11.132624,      Primary,2,0,80,3080,8030,0.11,287.94,7,44.2,64.7,2.4,1000000,     L2 msmx,8.96
4194,   4/4/2024, 17:58:43.793000,   4/4/2024, 17:58:43.622299,      Primary,2,0,-1350,2740,8580,-0.06,52.59,7,23,24.4,2.3,1000000,     L2 msmx,8.38
4203,   4/4/2024, 17:59:22.163500,   4/4/2024, 17:59:22.035563,      Primary,2,0,-300,3130,7700,0.39,319.71,7,46.3,116.1,3.1,1000000,     L2 msmx,19.76
4287,   4/4/2024, 18:05:11.199000,   4/4/2024, 18:05:11.035842,      Primary,2,0,-80,2970,8390,0.11,271,7,11.1,17.9,2.2,1000000,     L2 msmx,9.95
4294,   4/4/2024, 18:05:45.585000,   4/4/2024, 18:05:45.448051,      Primary,2,0,-310,3170,7780,-0.2,117.78,7,20.7,46.2,2.1,1000000,     L2 msmx,9.68
4445,   4/4/2024, 18:16:46.472250,   4/4/2024, 18:16:46.332081,      Primary,2,0,-40,3070,7940,0.23,311.95,7,106.4,259.2,2.6,1000000,     L2 msmx,13.24
4517,   4/4/2024, 18:21:36.602250,   4/4/2024, 18:21:36.448456,      Primary,2,0,-120,3070,8060,0.41,267.5,7,10.5,19.4,3.2,1000000,     L2 msmx,27.06
4524,   4/4/2024, 18:22:15.632000,   4/4/2024, 18:22:15.725080,      Primary,2,0,-160,2970,8530,0.26,155.75,7,12.3,25.4,1.7,1000000,     L2 msmx,6.84
4549,   4/4/2024, 18:23:50.655750,   4/4/2024, 18:23:50.541496,      Primary,2,0,-140,3120,7980,0.77,537.85,7,83.6,124,4,1000000,     L2 msmx,22.63
4568,   4/4/2024, 18:25:14.711250,   4/4/2024, 18:25:14.571696,      Primary,2,0,50,3020,8100,0.03,69.89,7,28.5,55.8,2.5,1000000,     L2 msmx,9.43
4575,   4/4/2024, 18:25:49.007750,   4/4/2024, 18:25:48.866066,      Primary,2,0,-170,3070,7970,0.26,391.99,7,110.7,89.4,1.7,1000000,     L2 msmx,11.65
4577,   4/4/2024, 18:26:03.181250,   4/4/2024, 18:26:03.045260,      Primary,2,0,20,3030,7920,-0.13,157,7,42.5,109.7,2.3,1000000,     L2 msmx,7.8
