Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
885,   6/4/2024, 07:07:36.799500,   6/4/2024, 07:07:36.684875,      Primary,2,0,-80,2440,7170,-0.15,48.93,9,5.7,12.7,2.4,1000000,     L2 msmx,9.33,
891,   6/4/2024, 07:07:48.927750,   6/4/2024, 07:07:48.703300,      Primary,2,0,130,3030,8080,0.52,187.75,9,15.9,21.9,2.7,1000000,     L2 msmx,14.25,
897,   6/4/2024, 07:08:14.024000,   6/4/2024, 07:08:13.797413,      Primary,2,0,-410,2300,8070,0.18,66.99,9,16.6,18.8,3.9,1000000,     L2 msmx,13.14,
958,   6/4/2024, 07:10:19.619500,   6/4/2024, 07:10:19.537582,      Primary,2,0,-580,2480,6360,0.78,187.75,9,19.5,54.1,5.0,1000000,     L2 msmx,7.61,
959,   6/4/2024, 07:10:23.835250,   6/4/2024, 07:10:23.916384,      Primary,2,0,-1190,2430,6990,0.13,187.75,9,5.4,8.8,2.2,1000000,     L2 msmx,9.4,
969,   6/4/2024, 07:10:43.119750,   6/4/2024, 07:10:42.972851,      Primary,2,0,-630,2480,6300,0.58,187.75,9,8.5,16.2,3.4,1000000,     L2 msmx,12.49,
1000,   6/4/2024, 07:12:05.417500,   6/4/2024, 07:12:05.399467,      Primary,2,0,-1670,2370,7320,0.39,187.75,9,11.6,33.2,3.5,1000000,     L2 msmx,7.05,
1066,   6/4/2024, 07:14:23.286750,   6/4/2024, 07:14:23.080282,      Primary,2,0,-1750,2340,7520,-0.01,101.57,9,6.1,12.3,2.1,1000000,     L2 msmx,7.93,
1123,   6/4/2024, 07:16:23.646750,   6/4/2024, 07:16:23.474426,      Primary,2,0,-1060,2420,6880,0.27,187.75,9,8.4,12.2,3.3,1000000,     L2 msmx,17.12,
1127,   6/4/2024, 07:16:30.158750,   6/4/2024, 07:16:29.939377,      Primary,2,0,-1720,2320,7840,0.04,55.76,9,8.2,11.7,1.9,1000000,     L2 msmx,8.48,
1128,   6/4/2024, 07:16:32.129750,   6/4/2024, 07:16:31.907398,      Primary,2,0,-1720,2290,7720,-0.11,46.79,9,6.2,6.7,2.1,1000000,     L2 msmx,12.93,
1138,   6/4/2024, 07:16:57.641750,   6/4/2024, 07:16:57.573784,      Primary,2,0,-1870,2390,7720,0.1,116.24,9,10.8,9.9,2.1,1000000,     L2 msmx,7.62,
1174,   6/4/2024, 07:18:08.668750,   6/4/2024, 07:18:08.456121,      Primary,2,0,-1440,2200,7950,-0.03,75.84,9,4.9,8.8,1.7,1000000,     L2 msmx,10.09,
1180,   6/4/2024, 07:18:23.175750,   6/4/2024, 07:18:23.002180,      Primary,2,0,-200,2360,6660,0.33,187.75,9,9.0,21.7,2.7,1000000,     L2 msmx,12.08,
1182,   6/4/2024, 07:18:27.489250,   6/4/2024, 07:18:27.458216,      Primary,2,0,-1760,2480,7090,-0.1,72.17,9,4.8,7.8,2.5,1000000,     L2 msmx,7.76,
1190,   6/4/2024, 07:18:43.543000,   6/4/2024, 07:18:43.234264,      Primary,2,0,-1670,2320,7520,0.16,187.75,9,5.8,12.9,3.2,1000000,     L2 msmx,24.09,
1195,   6/4/2024, 07:18:56.945000,   6/4/2024, 07:18:56.783398,      Primary,2,0,-1350,2410,6770,0.03,152.08,9,6.8,18.7,2.2,1000000,     L2 msmx,7.78,
1202,   6/4/2024, 07:19:16.066250,   6/4/2024, 07:19:15.866002,      Primary,2,0,-1680,2230,7760,0.94,187.75,9,35.5,55.5,4.4,1000000,     L2 msmx,27.05,
1300,   6/4/2024, 07:22:45.271000,   6/4/2024, 07:22:45.076290,      Primary,2,0,-1520,2270,7610,-0.02,101.02,9,5.7,12.6,2.2,1000000,     L2 msmx,8.44,
1333,   6/4/2024, 07:23:53.880750,   6/4/2024, 07:23:53.856979,      Primary,2,0,-920,2420,6600,0.49,187.75,9,10.9,25.3,3.5,1000000,     L2 msmx,8.14,
1382,   6/4/2024, 07:25:49.453000,   6/4/2024, 07:25:49.280777,      Primary,2,0,-1420,2400,7210,0.24,187.75,9,10.5,24.1,2.1,1000000,     L2 msmx,8.43,
1419,   6/4/2024, 07:26:58.097250,   6/4/2024, 07:26:57.807621,      Primary,2,0,-1810,2350,7450,-0.05,151.58,9,5.6,5.3,2.0,1000000,     L2 msmx,34.04,
1426,   6/4/2024, 07:27:13.331000,   6/4/2024, 07:27:13.232625,      Primary,2,0,-1300,2130,8080,0.26,139.39,9,20.8,28.8,3.4,1000000,     L2 msmx,7.81,
1489,   6/4/2024, 07:29:36.639500,   6/4/2024, 07:29:36.576042,      Primary,2,0,-1740,2310,7580,0.4,187.75,9,12.8,24.0,3.2,1000000,     L2 msmx,7.08,
1507,   6/4/2024, 07:30:14.389250,   6/4/2024, 07:30:14.537522,      Primary,2,0,-50,2350,6910,0.07,107.62,9,6.3,17.4,2.3,1000000,     L2 msmx,7.92,
1518,   6/4/2024, 07:30:42.050500,   6/4/2024, 07:30:41.792847,      Primary,2,0,-290,2360,6690,-0.27,40.23,9,3.8,8.7,1.9,1000000,     L2 msmx,14.03,
1536,   6/4/2024, 07:31:15.293750,   6/4/2024, 07:31:15.071863,      Primary,2,0,-1200,2520,8230,0.36,187.75,9,10.4,20.2,3.6,1000000,     L2 msmx,11.38,
