Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
31,   5/4/2024, 09:42:54.951500,   5/4/2024, 09:42:54.797497,      Primary,2,0,-170,2900,7990,-0.09,126.3,7,7.5,18.0,3.4,1000000,     L2 msmx,8.98,
68,   5/4/2024, 09:44:33.441000,   5/4/2024, 09:44:33.289837,      Primary,2,0,-280,2890,8030,-0.14,78.82,7,9.2,22.7,2.4,1000000,     L2 msmx,9.77,
70,   5/4/2024, 09:44:35.367500,   5/4/2024, 09:44:35.216820,      Primary,2,0,130,3390,7810,-0.01,126.6,7,8.1,8.2,1.7,1000000,     L2 msmx,12.62,
131,   5/4/2024, 09:47:32.693750,   5/4/2024, 09:47:32.539577,      Primary,2,0,-1420,3370,7670,0.16,187.75,7,12.1,38.3,2.0,1000000,     L2 msmx,11.69,
143,   5/4/2024, 09:48:10.051250,   5/4/2024, 09:48:09.869502,      Primary,2,0,500,3260,8480,0.38,300.08,7,13.9,26.1,2.6,1000000,     L2 msmx,7.71,
153,   5/4/2024, 09:48:43.740000,   5/4/2024, 09:48:43.617439,      Primary,2,0,-920,2960,7250,0.09,165.25,7,29.1,63.7,2.9,1000000,     L2 msmx,11.95,
155,   5/4/2024, 09:48:47.818000,   5/4/2024, 09:48:47.640202,      Primary,2,0,-50,3080,8300,0.02,50.52,7,8.8,10.7,1.5,1000000,     L2 msmx,7.75,
185,   5/4/2024, 09:50:03.305500,   5/4/2024, 09:50:03.198795,      Primary,2,0,-260,2900,8050,-0.13,67.47,7,8.3,15.5,2.3,1000000,     L2 msmx,9.45,
233,   5/4/2024, 09:52:24.567000,   5/4/2024, 09:52:24.423025,      Primary,2,0,480,3160,8440,0.32,205.32,7,7.6,16.9,2.9,1000000,     L2 msmx,7.48,
287,   5/4/2024, 09:54:41.364500,   5/4/2024, 09:54:41.295715,      Primary,2,0,-910,2980,7200,-0.06,129.86,7,11.8,26.6,2.3,1000000,     L2 msmx,8.29,
374,   5/4/2024, 09:58:32.585750,   5/4/2024, 09:58:32.628067,      Primary,2,0,-630,3020,7270,-0.03,131.4,7,11.5,28.0,2.4,1000000,     L2 msmx,6.91,
376,   5/4/2024, 09:58:42.701750,   5/4/2024, 09:58:42.583111,      Primary,2,0,-980,2890,7280,0.13,215.19,7,33.1,83.4,2.6,1000000,     L2 msmx,11.24,
422,   5/4/2024, 10:00:59.536500,   5/4/2024, 10:00:59.411869,      Primary,2,0,20,3140,8310,-0.02,62.54,7,22.3,18.0,1.8,1000000,     L2 msmx,7.28,
467,   5/4/2024, 10:03:02.470750,   5/4/2024, 10:03:02.353017,      Primary,2,0,-30,3170,7970,0.37,324.61,7,14.2,29.6,3.0,1000000,     L2 msmx,10.72,
552,   5/4/2024, 10:07:31.387500,   5/4/2024, 10:07:31.172245,      Primary,2,0,60,3200,8310,-0.04,75.45,7,7.1,14.4,1.7,1000000,     L2 msmx,7.81,
556,   5/4/2024, 10:07:42.390000,   5/4/2024, 10:07:42.165226,      Primary,2,0,100,3110,8560,0.4,218.52,7,8.9,13.2,1.8,1000000,     L2 msmx,13.62,
558,   5/4/2024, 10:07:54.861500,   5/4/2024, 10:07:54.821632,      Primary,2,0,-90,3180,8210,-0.03,68.87,7,14.2,24.8,2.0,1000000,     L2 msmx,6.82,
560,   5/4/2024, 10:08:03.870750,   5/4/2024, 10:08:03.698739,      Primary,2,0,-60,3050,8540,0.26,191.85,7,10.5,20.4,2.4,1000000,     L2 msmx,8.53,
579,   5/4/2024, 10:09:03.165500,   5/4/2024, 10:09:02.992744,      Primary,2,0,-1350,2920,8200,0.21,187.75,7,5.9,10.2,2.2,1000000,     L2 msmx,17.78,
661,   5/4/2024, 10:13:03.650500,   5/4/2024, 10:13:03.522479,      Primary,2,0,-900,2920,7350,0.02,68.13,7,9.6,21.0,2.4,1000000,     L2 msmx,11.64,
