COMPANY 		: Utah Forge
FIELD   		: Beaver (University of Utah)
SITE    		: Utah Forge
WELL   		: 16B(78)-32
WELLPATH		: 16B(78)-32
DESIGN			: 16B(78)-32 Final Surveys
MAP SYSTEM		: Universal Transverse Mercator (US Survey Feet)
GEODIC DATUM		: NAD83 Utah - HARN
MAP ZONE		: Zone 12N (114 W to 108 W)
CALCULATION METHOD	: Minimum Curvature
WELL EASTING 		: 1097907.09ft 
WELL NORTHING 		: 13987765.96ft 
VSECT DIREC 		: 106.85deg 
NORTH REF		: Grid
KB ELEV  		: 5447.65ft 
GL ELEV 		: 5415.65ft 
DATE			: 6/26/2023

SURVEY 

MD         INC       AZI       TVD        SSTVD        N/S       NORTHING       E/W        EASTING       VSEC        DLS            
(ft)      (deg)     (deg)      (ft)       (ft)         (ft)       (Ft)          (ft)        (Ft)         (ft)     (deg/100ft)  


1325.00    0.14     152.75    1324.71     -4122.94    0.69      13987766.65    23.64     1097930.72      22.42      0.85   
1350.00    0.33     127.31    1349.71     -4097.94    0.62      13987766.58    23.71     1097930.79      22.51      0.85   
1375.00    0.46     106.77    1374.70     -4072.95    0.55      13987766.51    23.86     1097930.95      22.68      0.76   
1400.00    0.62     73.81     1399.70     -4047.95    0.56      13987766.52    24.09     1097931.17      22.89      1.37   
1425.00    0.52     59.26     1424.70     -4022.95    0.65      13987766.62    24.31     1097931.40      23.08      0.70   
1450.00    0.37     34.29     1449.70     -3997.95    0.78      13987766.74    24.46     1097931.54      23.18      0.97   
1475.00    0.15     331.37    1474.70     -3972.95    0.87      13987766.84    24.49     1097931.57      23.18      1.32   
1500.00    0.50     112.05    1499.70     -3947.95    0.86      13987766.82    24.57     1097931.66      23.27      2.49   
1525.00    0.54     64.38     1524.70     -3922.95    0.87      13987766.83    24.78     1097931.87      23.46      1.69   
1550.00    0.26     47.98     1549.70     -3897.95    0.96      13987766.92    24.93     1097932.01      23.58      1.20   
1575.00    0.26     124.60    1574.70     -3872.95    0.97      13987766.93    25.02     1097932.10      23.66      1.29   
1600.00    0.73     95.79     1599.70     -3847.95    0.92      13987766.88    25.22     1097932.31      23.87      2.07   
1625.00    0.60     74.68     1624.70     -3822.95    0.94      13987766.90    25.51     1097932.59      24.14      1.10   
1650.00    0.60     73.49     1649.70     -3797.95    1.01      13987766.97    25.76     1097932.84      24.36      0.05   
1675.00    0.44     80.68     1674.69     -3772.96    1.06      13987767.02    25.98     1097933.06      24.56      0.69   
1700.00    0.69     93.99     1699.69     -3747.96    1.07      13987767.03    26.22     1097933.31      24.79      1.12   
1725.00    0.64     108.67    1724.69     -3722.96    1.01      13987766.97    26.51     1097933.59      25.07      0.71   
1750.00    1.15     119.45    1749.69     -3697.96    0.84      13987766.80    26.86     1097933.94      25.46      2.14   
1775.00    1.09     96.52     1774.68     -3672.97    0.69      13987766.65    27.31     1097934.40      25.94      1.80   
1800.00    0.81     114.26    1799.68     -3647.97    0.59      13987766.55    27.71     1097934.79      26.35      1.61   
1825.00    1.24     109.58    1824.68     -3622.97    0.43      13987766.39    28.12     1097935.21      26.79      1.75   
1850.00    0.81     118.64    1849.67     -3597.98    0.25      13987766.22    28.53     1097935.62      27.24      1.83   
1875.00    1.20     124.87    1874.67     -3572.98    0.02      13987765.98    28.90     1097935.99      27.66      1.62   
1900.00    1.08     128.11    1899.66     -3547.99    -0.27     13987765.69    29.30     1097936.39      28.13      0.54   
1925.00    0.97     142.35    1924.66     -3522.99    -0.59     13987765.37    29.62     1097936.71      28.52      1.11   
1950.00    0.91     158.10    1949.66     -3497.99    -0.94     13987765.02    29.82     1097936.91      28.81      1.06   
1975.00    0.81     187.42    1974.65     -3473.00    -1.30     13987764.66    29.87     1097936.96      28.97      1.78   
2000.00    0.84     206.25    1999.65     -3448.00    -1.64     13987764.32    29.77     1097936.86      28.97      1.09   
2025.00    0.88     192.96    2024.65     -3423.00    -1.99     13987763.97    29.65     1097936.73      28.95      0.81   
2050.00    0.71     238.52    2049.65     -3398.00    -2.26     13987763.70    29.47     1097936.56      28.86      2.54   
2075.00    1.20     230.46    2074.64     -3373.01    -2.51     13987763.46    29.14     1097936.22      28.61      2.03   
2100.00    1.15     213.31    2099.64     -3348.01    -2.88     13987763.08    28.80     1097935.88      28.40      1.42   
2125.00    0.96     209.74    2124.63     -3323.02    -3.27     13987762.69    28.56     1097935.64      28.28      0.80   
2150.00    0.65     229.80    2149.63     -3298.02    -3.55     13987762.41    28.34     1097935.43      28.15      1.66   
2175.00    0.97     219.10    2174.63     -3273.02    -3.80     13987762.16    28.10     1097935.19      28.00      1.41   
2200.00    0.76     207.02    2199.63     -3248.02    -4.11     13987761.85    27.89     1097934.98      27.89      1.11   
2225.00    0.71     199.97    2224.62     -3223.03    -4.41     13987761.55    27.76     1097934.85      27.85      0.41   
2250.00    0.84     180.93    2249.62     -3198.03    -4.74     13987761.23    27.71     1097934.79      27.89      1.15   
2275.00    0.87     204.99    2274.62     -3173.03    -5.09     13987760.87    27.63     1097934.71      27.92      1.43   
2300.00    0.84     211.64    2299.62     -3148.03    -5.42     13987760.54    27.45     1097934.54      27.84      0.41   
2325.00    1.11     207.93    2324.61     -3123.04    -5.79     13987760.17    27.24     1097934.33      27.75      1.11   
2350.00    1.23     204.99    2349.61     -3098.04    -6.25     13987759.71    27.01     1097934.10      27.66      0.54   
2375.00    0.84     187.87    2374.60     -3073.05    -6.67     13987759.29    26.87     1097933.96      27.65      1.97   
2400.00    0.76     208.12    2399.60     -3048.05    -7.00     13987758.96    26.77     1097933.86      27.65      1.17   
2425.00    1.04     219.68    2424.60     -3023.05    -7.32     13987758.64    26.55     1097933.63      27.53      1.33   
2450.00    1.21     210.79    2449.59     -2998.06    -7.72     13987758.24    26.27     1097933.35      27.38      0.97   
2475.00    1.04     192.72    2474.59     -2973.06    -8.17     13987757.79    26.08     1097933.17      27.33      1.56   
2500.00    1.00     208.44    2499.58     -2948.07    -8.58     13987757.38    25.93     1097933.02      27.30      1.13   
2525.00    1.09     187.83    2524.58     -2923.07    -9.01     13987756.95    25.79     1097932.88      27.30      1.54   
2550.00    0.76     213.73    2549.58     -2898.07    -9.38     13987756.58    25.67     1097932.75      27.29      2.10   
2575.00    0.96     210.63    2574.57     -2873.08    -9.70     13987756.26    25.47     1097932.56      27.19      0.82   
