Measured depth,Incl,Azimuth,Course length,TVD,Vertica sectionl,NS,EW,Total displ,At Azim,DLS
8367,66.69,108.25,10,7502.26,1680.08,-468.5,1613.81,1680.44,106.19,6.24
8377,65.39,108.05,10,7506.32,1689.2,-471.35,1622.49,1689.57,106.2,13.13
8387,66.37,107.96,10,7510.41,1698.32,-474.17,1631.17,1698.69,106.21,9.83
8397,66.78,107.99,10,7514.38,1707.48,-477,1639.9,1707.87,106.22,4.11
8406.1,66.17,108.02,9.1,7518.02,1715.81,-479.58,1647.84,1716.21,106.23,6.71
8466,65.6,108.41,59.9,7542.49,1770.4,-496.67,1699.77,1770.85,106.29,1.12
8573,65.9,106.23,107,7586.44,1867.87,-525.71,1792.9,1868.38,106.34,1.88
8668,67.92,103.08,95,7623.7,1955.24,-547.8,1877.43,1955.72,106.27,3.72
8763,68.32,100.55,95,7659.11,2043.25,-565.84,1963.71,2043.61,106.07,2.51
8859,69.41,99.11,96,7693.73,2132.42,-581.12,2051.93,2132.64,105.81,1.8
8953,65.25,98.06,94,7729.95,2218.6,-594.08,2137.68,2218.69,105.53,4.54
9048,66.34,98,95,7768.9,2304.6,-606.18,2223.47,2304.63,105.25,1.15
9144,66.13,99.91,96,7807.59,2391.97,-619.86,2310.26,2391.97,105.02,1.83
9239,66.64,103.7,95,7845.66,2478.86,-637.67,2395.44,2478.86,104.91,3.69
9333,64.64,103.67,94,7884.43,2564.46,-657.93,2478.64,2564.47,104.87,2.13
9429,63.62,105.78,96,7926.32,2650.83,-679.87,2562.17,2650.84,104.86,2.24
9524,62.73,106.61,95,7969.19,2735.59,-703.52,2643.58,2735.59,104.9,1.22
9618,62.36,105.28,94,8012.53,2818.99,-726.43,2723.79,2818.99,104.93,1.32
9741,62.89,106.07,123,8069.09,2928.21,-755.94,2828.95,2928.21,104.96,0.71
9837,65.42,105.64,96,8110.93,3014.59,-779.54,2912.05,3014.59,104.99,2.67
9933,67.55,105.62,96,8149.23,3102.6,-803.26,2996.82,3102.6,105,2.22
10028,65.93,105.44,95,8186.75,3189.88,-826.63,3080.91,3189.88,105.02,1.71
10124,65.17,106.84,96,8226.48,3277.25,-850.91,3164.85,3277.25,105.05,1.55
10220,64.32,108.36,96,8267.44,3363.98,-877.16,3247.61,3363.98,105.11,1.68
10316,63.32,108.3,96,8309.8,3449.98,-904.26,3329.39,3450,105.19,1.04
10411,64.68,105.97,95,8351.45,3535.3,-929.4,3410.98,3535.33,105.24,2.63
10505,64.86,105.02,94,8391.51,3620.33,-952.12,3492.92,3620.36,105.25,0.93
10604,68.46,103.44,99,8430.73,3711.2,-974.44,3581.01,3711.23,105.22,3.92
10694,69.27,101.13,90,8463.19,3795.04,-992.29,3663.03,3795.06,105.16,2.56
10790,68,101.18,96,8498.16,3884.24,-1009.59,3750.74,3884.24,105.07,1.32
10886,68.6,101.44,96,8533.66,3973.25,-1027.08,3838.21,3973.25,104.98,0.67
10955,68.6,101.44,69,8558.83,4037.37,-1039.83,3901.17,4037.37,104.92,0
