Measured depth,Incl,Azimuth,Course length,TVD,Vertica sectionl,NS,EW,Total displ,At Azim,DLS
5987,7.52,93.99,10,5985.46,28.85,-8.9,27.49,28.89,107.94,6.22
5997,8.14,93.69,10,5995.36,30.19,-8.99,28.85,30.21,107.31,6.21
6007,8.75,93.43,10,6005.25,31.63,-9.08,30.31,31.64,106.68,6.11
6017,9.37,93.21,10,6015.13,33.17,-9.17,31.88,33.18,106.05,6.21
6027,9.99,93.01,10,6024.99,34.82,-9.26,33.56,34.82,105.43,6.21
6037,10.6,92.84,10,6034.83,36.56,-9.35,35.35,36.56,104.82,6.11
6047,11.22,92.68,10,6044.64,38.41,-9.44,37.24,38.42,104.23,6.21
6057,11.84,92.54,10,6054.44,40.37,-9.54,39.23,40.38,103.66,6.21
6067,12.46,92.42,10,6064.22,42.42,-9.63,41.34,42.44,103.11,6.21
6077,13.07,92.3,10,6073.97,44.58,-9.72,43.54,44.62,102.58,6.11
6087,13.69,92.2,10,6083.7,46.83,-9.81,45.86,46.89,102.07,6.2
6097,14.31,92.11,10,6093.4,49.19,-9.9,48.27,49.28,101.59,6.2
6107,14.85,92.48,10,6103.08,51.65,-10,50.79,51.76,101.14,5.48
6117,15.13,94.05,10,6112.74,54.18,-10.15,53.37,54.33,100.77,4.93
6127,15.43,95.56,10,6122.39,56.77,-10.37,56,56.95,100.49,4.98
6137,15.73,97.02,10,6132.02,59.43,-10.66,58.67,59.63,100.3,4.94
6147,16.04,98.42,10,6141.64,62.14,-11.03,61.38,62.36,100.19,4.93
6157,16.36,99.77,10,6151.24,64.92,-11.47,64.13,65.15,100.14,4.94
6167,16.69,101.07,10,6160.83,67.75,-11.99,66.93,68,100.15,4.96
6177,17.03,102.32,10,6170.4,70.65,-12.58,69.77,70.9,100.22,4.97
6187,17.37,103.52,10,6179.95,73.6,-13.24,72.65,73.85,100.33,4.91
6197,17.72,104.68,10,6189.49,76.62,-13.97,75.58,76.86,100.47,4.95
6207,17.86,104.94,10,6199.01,79.67,-14.75,78.53,79.9,100.64,1.61
6217,17.99,105.1,10,6208.52,82.75,-15.55,81.5,82.97,100.8,1.39
6227,18.13,105.27,10,6218.03,85.85,-16.36,84.49,86.06,100.96,1.5
6237,18.26,105.44,10,6227.53,88.97,-17.19,87.51,89.18,101.11,1.4
6247,18.38,105.62,10,6237.02,92.12,-18.03,90.53,92.31,101.26,1.33
6257,18.39,105.91,10,6246.51,95.27,-18.89,93.57,95.46,101.41,0.92
6267,18.39,106.2,10,6256,98.42,-19.76,96.6,98.6,101.56,0.91
6277,18.29,106.44,10,6265.49,101.57,-20.64,99.62,101.74,101.71,1.25
6287,18.21,106.73,10,6274.99,104.7,-21.54,102.62,104.86,101.85,1.21
6297,18.14,106.96,10,6284.49,107.82,-22.44,105.61,107.97,102,1
6307,17.95,107.64,10,6294,110.91,-23.36,108.57,111.05,102.14,2.84
6317,17.7,108.18,10,6303.52,113.97,-24.3,111.48,114.1,102.3,3
6327,17.59,108.98,10,6313.05,117,-25.27,114.35,117.11,102.46,2.66
