MD_m,EASTING,NORTHING,TVD_m
0.0,1097907.09,13987765.96,0.0
1.021095,1097907.094020059,13987765.96402006,1.021095
2.04219,1097907.098040118,13987765.968040118,2.04219
3.0632850000000005,1097907.1020601774,13987765.972060177,3.0632850000000005
4.08438,1097907.1060802364,13987765.976080237,4.08438
5.105475,1097907.1101002954,13987765.980100296,5.105475
6.126570000000001,1097907.1141203544,13987765.984120354,6.126570000000001
7.147665000000001,1097907.1181404134,13987765.988140414,7.147665000000001
8.16876,1097907.12864189,13987765.996481417,8.16876
9.189855000000001,1097907.144722126,13987766.008541595,9.189855000000001
10.21095,1097907.1608023623,13987766.020601772,10.21095
11.232045000000001,1097907.1768825985,13987766.032661948,11.232045000000001
12.253140000000002,1097907.1929628346,13987766.044722127,12.253140000000002
13.274235000000001,1097907.209043071,13987766.056782303,13.274235000000001
14.295330000000002,1097907.2251233072,13987766.06884248,14.295330000000002
15.316425,1097907.2413038386,13987766.081203543,15.316425
16.33752,1097907.2587240946,13987766.097283779,16.33752
17.358615,1097907.2761443504,13987766.113364015,17.358615
18.379710000000003,1097907.2935646062,13987766.12944425,18.379710000000003
19.400805000000002,1097907.3109848623,13987766.145524487,19.400805000000002
20.4219,1097907.328405118,13987766.161604725,20.4219
21.442995000000003,1097907.3458253741,13987766.17768496,21.442995000000003
22.464090000000002,1097907.36324563,13987766.193765197,22.464090000000002
23.485185,1097907.3757431693,13987766.206563622,23.485185
24.506280000000004,1097907.3851233071,13987766.217283778,24.506280000000004
25.527375000000003,1097907.394503445,13987766.228003936,25.527375000000003
26.548470000000002,1097907.4038835827,13987766.238724094,26.548470000000002
27.569565,1097907.4132637205,13987766.249444252,27.569565
28.590660000000003,1097907.4226438582,13987766.260164408,28.590660000000003
29.611755000000002,1097907.432023996,13987766.270884566,29.611755000000002
30.63285,1097907.4424070865,13987766.278796457,30.63285
31.653945000000004,1097907.4584873228,13987766.270756338,31.653945000000004
32.67504,1097907.474567559,13987766.26271622,32.67504
33.696135000000005,1097907.4906477954,13987766.254676102,33.696135000000005
34.71723,1097907.5067280314,13987766.246635985,34.71723
35.738325,1097907.5228082677,13987766.238595866,35.738325
36.759420000000006,1097907.538888504,13987766.230555749,36.759420000000006
37.780515,1097907.55496874,13987766.22251563,37.780515
38.801610000000004,1097907.5802564567,13987766.209871773,38.801610000000004
39.822705000000006,1097907.6097368898,13987766.195131555,39.822705000000006
40.8438,1097907.639217323,13987766.18039134,40.8438
41.864895000000004,1097907.668697756,13987766.165651122,41.864895000000004
42.88599000000001,1097907.698178189,13987766.150910905,42.88599000000001
43.907085,1097907.727658622,13987766.136170689,43.907085
44.928180000000005,1097907.757139055,13987766.121430472,44.928180000000005
45.94927500000001,1097907.7881239173,13987766.110300886,45.94927500000001
46.97037,1097907.824304449,13987766.111640904,46.97037
47.991465000000005,1097907.8604849803,13987766.112980925,47.991465000000005
49.01256000000001,1097907.896665512,13987766.114320945,49.01256000000001
50.033655,1097907.9328460433,13987766.115660964,50.033655
51.054750000000006,1097907.9690265749,13987766.117000984,51.054750000000006
52.075845,1097908.0052071062,13987766.118341003,52.075845
53.096940000000004,1097908.0413876378,13987766.119681023,53.096940000000004
54.118035000000006,1097908.0724629527,13987766.128168346,54.117723786000006
55.13913,1097908.1019433858,13987766.138888502,55.138410348
56.160225000000004,1097908.1314238189,13987766.14960866,56.15909691000001
57.18132000000001,1097908.160904252,13987766.160328818,57.17978347200001
58.202415,1097908.190384685,13987766.171048976,58.200470034000006
59.223510000000005,1097908.2198651182,13987766.181769133,59.22115659600001
60.24460500000001,1097908.2493455512,13987766.19248929,60.241843158000016
61.2657,1097908.2752153543,13987766.203610629,61.26265200000001
62.286795000000005,1097908.2926356103,13987766.215670805,62.28374700000001
63.30789000000001,1097908.3100558661,13987766.227730984,63.304842000000015
64.328985,1097908.327476122,13987766.23979116,64.32593700000001
65.35008,1097908.344896378,13987766.251851337,65.34703200000001
66.37117500000001,1097908.3623166338,13987766.263911515,66.36812700000002
67.39227000000001,1097908.3797368896,13987766.275971692,67.38922200000002
68.413365,1097908.3971571457,13987766.288031869,68.410317
69.43446,1097908.40784937,13987766.292242676,69.43141200000001
70.455555,1097908.4172295078,13987766.294922717,70.45250700000001
71.47665,1097908.4266096456,13987766.297602756,71.47360200000001
72.49774500000001,1097908.4359897834,13987766.300282795,72.49469700000002
73.51884000000001,1097908.4453699212,13987766.302962834,73.51579200000002
74.539935,1097908.454750059,13987766.305642875,74.53688700000001
