MD_m,EASTING_m,NORTHING_m,TVD_m
0.0,334642.081032,4263471.064608,0.0
1.021095,334642.0799062793,4263471.064504054,1.021095309718898
2.04219,334642.07960032945,4263471.0648440365,2.0421904859876814
3.0632850000000005,334642.0800635222,4263471.065610061,3.063285549456025
4.08438,334642.0812452295,4263471.066784252,4.084380520773603
5.105475,334642.0830948238,4263471.068348737,5.105475420590093
6.126570000000001,334642.08556167677,4263471.070285635,6.126570269555168
7.147665000000001,334642.08859516034,4263471.072577068,7.147665088318503
8.16876,334642.0921446469,4263471.07520516,8.168759897529776
9.189855000000001,334642.0961595082,4263471.0781520335,9.18985471783866
10.21095,334642.10058911645,4263471.081399811,10.210949569894831
11.232045000000001,334642.1053828435,4263471.084930615,11.232044474347965
12.253140000000002,334642.11049006134,4263471.088726567,12.253139451847737
13.274235000000001,334642.1158601422,4263471.092769791,13.274234523043818
14.295330000000002,334642.121442458,4263471.097042411,14.295329708585893
15.316425,334642.12718637736,4263471.101526545,15.316425029114969
16.33752,334642.1330312923,4263471.106199199,16.33752047966469
17.358615,334642.1388846752,4263471.111021014,17.35861597333808
18.379710000000003,334642.1446476278,4263471.115949361,18.379711406886777
19.400805000000002,334642.1502212516,4263471.120941613,19.400806677062384
20.4219,334642.15550664853,4263471.125955142,20.421901680616543
21.442995000000003,334642.1604049202,4263471.130947322,21.442996314300864
22.464090000000002,334642.16481716855,4263471.135875526,22.464090474866985
23.485185,334642.1686535646,4263471.140694177,23.485184078024854
24.506280000000004,334642.1719536044,4263471.145315694,24.506277309818255
25.527375000000003,334642.17485317215,4263471.149621175,25.52737055777635
26.548470000000002,334642.17749045574,4263471.1534909755,26.548464214242987
27.569565,334642.18000364257,4263471.156805446,27.56955867156198
28.590660000000003,334642.1825309204,4263471.159444942,28.59065432207717
29.611755000000002,334642.18521047675,4263471.161289815,29.61175155813238
30.63285,334642.188180439,4263471.162220533,30.63285077103247
31.653945000000004,334642.1915518254,4263471.162167972,31.653951885532685
32.67504,334642.1953659007,4263471.161192721,32.67505362593496
33.696135000000005,334642.1996528656,4263471.15937595,33.69615452611238
34.71723,334642.20444291993,4263471.156798823,34.717253119938
35.738325,334642.2097662641,4263471.153542507,35.73834794128487
36.759420000000006,334642.21565309813,4263471.149688172,36.75943752402606
37.780515,334642.22213362245,4263471.145316983,37.78052040203462
38.801610000000004,334642.2292342976,4263471.1405160455,38.8015954843208
39.822705000000006,334642.2369411859,4263471.135436631,39.82266573244676
40.8438,334642.2452156761,4263471.1302692015,40.84373658315597
41.864895000000004,334642.2540188034,4263471.12520478,41.86481350861241
42.88599000000001,334642.2633116034,4263471.120434387,42.88590198097998
43.907085,334642.2730551116,4263471.116149047,43.90700747242265
44.928180000000005,334642.28321036306,4263471.11253978,44.928135455104346
45.94927500000001,334642.293738289,4263471.109797066,45.94929135233152
46.97037,334642.3045832838,4263471.108025362,46.97047285825248
47.991465000000005,334642.3156552876,4263471.10714989,47.99166156285961
49.01256000000001,334642.3268599345,4263471.107073475,49.01283704362407
50.033655,334642.33810285886,4263471.107698942,50.033978878017045
51.054750000000006,334642.3492896949,4263471.108929117,51.055066643509704
52.075845,334642.360326077,4263471.110666826,52.07607991757324
53.096940000000004,334642.37111763936,4263471.112814894,53.09699827767884
54.118035000000006,334642.3815752324,4263471.115281661,54.11780518215963
55.13913,334642.39165333856,4263471.118021621,55.13851655232963
56.160225000000004,334642.4013281788,4263471.121012259,56.15916448304741
57.18132000000001,334642.4105761327,4263471.124231228,57.17978118749509
58.202415,334642.4193735804,4263471.127656182,58.2003988788548
59.223510000000005,334642.4276969013,4263471.131264774,59.22104977030864
60.24460500000001,334642.43552247545,4263471.135034657,60.241766075038726
61.2657,334642.44282684574,4263471.13894324,61.2625797708298
62.286795000000005,334642.44959922985,4263471.142948759,62.28350453165974
63.30789000000001,334642.4558503659,4263471.146976907,63.30452295371292
64.328985,334642.4615930816,4263471.150950216,64.32561461632814
65.35008,334642.4668402042,4263471.154791219,65.34675909884422
66.37117500000001,334642.4716045612,4263471.15842245,66.36793598059994
67.39227000000001,334642.4758989799,4263471.161766439,67.38912484093406
68.413365,334642.4797362877,4263471.16474572,68.41030525918539
69.43446,334642.48313824815,4263471.167288457,69.43145934270767
70.455555,334642.4861853845,4263471.169359831,70.45258582263494
71.47665,334642.48898195545,4263471.170939978,71.47369014491058
72.49774500000001,334642.4916322858,4263471.172009076,72.49477777422811
73.51884000000001,334642.4942407004,4263471.172547301,73.51585417528096
74.539935,334642.496911524,4263471.172534834,74.53692481276263
75.56103,334642.4997490815,4263471.171951849,75.55799515136664
76.582125,334642.5028568731,4263471.170779299,76.57907059548988
77.60322000000001,334642.50630086387,4263471.16903335,77.60015380496657
78.62431500000001,334642.51009483036,4263471.1667791335,78.62124362359849
79.64541000000001,334642.51424869354,4263471.164085397,79.6423386132729
80.666505,334642.5187723744,4263471.161020884,80.66343733587709
81.6876,334642.5236757938,4263471.157654345,81.68453835329838
82.708695,334642.52896887274,4263471.154054526,82.70564022742401
83.72979000000001,334642.5346615322,4263471.150290174,83.72674152014132
84.75088500000001,334642.5407609258,4263471.1464224765,84.74784101128236
85.77198000000001,334642.54725976003,4263471.142473139,85.76893861838376
86.793075,334642.55414604314,4263471.138451031,86.79003462900454
87.81417,334642.56140778074,4263471.134365014,87.81112933090205
88.835265,334642.5690329784,4263471.130223951,88.83222301183373
89.85636000000001,334642.5770096417,4263471.126036705,89.8533159595569
90.87745500000001,334642.58532577625,4263471.121812138,90.87440846182889
