MD_m,EASTING_m,NORTHING_m,TVD_m
1636.56264,334655.430527782,4263463.116971845,1636.264542439352
1637.5837350000002,334655.4260413571,4263463.099590804,1637.2852380071674
1638.60483,334655.4202652698,4263463.083207713,1638.3060604487778
1639.625925,334655.4131749691,4263463.067792825,1639.3270264616583
1640.64702,334655.4048070863,4263463.053190895,1640.3481028321069
1641.6681150000002,334655.3952042096,4263463.039234462,1641.369251486901
1642.68921,334655.38440892723,4263463.025756067,1642.3904343528181
1643.710305,334655.37246382725,4263463.012588246,1643.4116133566347
1644.7314000000001,334655.3594114979,4263462.9995635385,1644.4327504251282
1645.7524950000002,334655.34529452724,4263462.986514483,1645.453807485075
1646.77359,334655.3301664133,4263462.973286502,1646.4747519113496
1647.794685,334655.31415258494,4263462.959809942,1647.4955870005172
1648.8157800000001,334655.2974075974,4263462.946049546,1648.5163305941712
1649.8368750000002,334655.2800860884,4263462.931970152,1649.5370005750751
1650.85797,334655.2623426949,4263462.917536595,1650.5576148259913
1651.879065,334655.2443320548,4263462.902713716,1651.578191229684
1652.9001600000001,334655.22620880563,4263462.887466351,1652.5987476689168
1653.9212550000002,334655.20812661544,4263462.871761551,1653.6193019628097
1654.94235,334655.1901948045,4263462.85566772,1654.6398690179042
1655.963445,334655.17246089125,4263462.8393944865,1655.660459681964
1656.9845400000002,334655.1549678141,4263462.823161956,1656.681084501929
1658.0056350000002,334655.13775851124,4263462.807190229,1657.7017540247384
1659.02673,334655.12087592075,4263462.791699407,1658.7224787973303
1660.047825,334655.1043629809,4263462.776909588,1659.743269366645
1661.0689200000002,334655.08826262987,4263462.763040876,1660.764136279621
1662.090015,334655.0726267114,4263462.750278961,1661.7850867319314
1663.11111,334655.05755367765,4263462.738629439,1662.8061103797522
1664.132205,334655.0431571778,4263462.728039186,1663.827191160481
1665.1533000000002,334655.029550869,4263462.718455044,1664.848313008366
1666.174395,334655.0168484089,4263462.709823859,1665.8694598576571
1667.19549,334655.00516345474,4263462.702092473,1666.8906156426035
1668.2165850000001,334654.99460966385,4263462.695207729,1667.911764297454
1669.2376800000002,334654.98530010605,4263462.689113194,1668.9328901433319
1670.258775,334654.9773303759,4263462.683655006,1669.9539890032408
1671.27987,334654.9707760643,4263462.678567776,1670.975069866756
1672.3009650000001,334654.9657116654,4263462.673579999,1671.9961424451715
1673.3220600000002,334654.9622116734,4263462.668420171,1673.0172164497828
1674.343155,334654.96035058255,4263462.662816791,1674.0383015918837
1675.36425,334654.96020288713,4263462.656498352,1675.0594075827703
1676.3853450000001,334654.96184308117,4263462.649193351,1676.0805441337354
1677.4064400000002,334654.9653523506,4263462.640665802,1677.101715770782
1678.427535,334654.97083982505,4263462.630828036,1678.122905366073
1679.44863,334654.97842192755,4263462.619631098,1679.1440901401972
1680.4697250000002,334654.98821508075,4263462.6070260275,1680.1652473137258
1681.4908200000002,334655.00033570785,4263462.592963869,1681.1863541072312
