ARC_LENGTH,EASTING,NORTHING,TVD_m
0.0,1097907.09,13987765.96,0.0
1.021095,1097907.0885794386,13987765.959738256,1.021102635253246
2.04219,1097907.0874194654,13987765.959615607,2.0422044552338336
3.0632850000000005,1097907.0865153777,13987765.959630392,3.063305465250048
4.08438,1097907.0858624706,13987765.959780948,4.0844056706101695
5.105475,1097907.0854560423,13987765.960065618,5.105505076622483
6.126570000000001,1097907.0852913884,13987765.960482735,6.126603688595275
7.147665000000001,1097907.0853638055,13987765.961030643,7.147701511836823
8.16876,1097907.085668591,13987765.961707683,8.168798551655415
9.189855000000001,1097907.0862010403,13987765.96251219,9.189894813359334
10.21095,1097907.086956451,13987765.963442504,10.210990302256862
11.232045000000001,1097907.087930119,13987765.964496965,11.232085023656284
12.253140000000002,1097907.0891173405,13987765.965673907,12.253178982865883
13.274235000000001,1097907.0905134128,13987765.966971671,13.274272185193936
14.295330000000002,1097907.0921136334,13987765.96838861,14.295364635948742
15.316425,1097907.0939132967,13987765.969923042,15.31645634043857
16.33752,1097907.0959077007,13987765.971573321,16.33754730397171
17.358615,1097907.0980921416,13987765.973337773,17.35863753185644
18.379710000000003,1097907.1004619158,13987765.97521475,18.379727029401057
19.400805000000002,1097907.10301232,13987765.977202583,19.400815801913826
20.4219,1097907.105738651,13987765.979299614,20.42190385470304
21.442995000000003,1097907.1086362053,13987765.981504181,21.44299119307699
22.464090000000002,1097907.1117002792,13987765.983814627,22.464077822343945
23.485185,1097907.1149261692,13987765.986229282,23.48516374781219
24.506280000000004,1097907.1183091723,13987765.988746496,24.506248974790026
25.527375000000003,1097907.121844585,13987765.9913646,25.527333508585713
26.548470000000002,1097907.1255277034,13987765.994081939,26.54841735450755
27.569565,1097907.1293538248,13987765.996896846,27.569500517863816
28.590660000000003,1097907.133318245,13987765.999807661,28.59058300396279
29.611755000000002,1097907.1374162612,13987766.00281273,29.611664818112764
30.63285,1097907.1416431696,13987766.005910382,30.63274596562202
31.653945000000004,1097907.1459942667,13987766.009098962,31.65382645179884
32.67504,1097907.1504648493,13987766.012376811,32.6749062819515
33.696135000000005,1097907.1550502141,13987766.015742263,33.6959854613883
34.71723,1097907.1597456571,13987766.019193657,34.71706399541748
35.738325,1097907.1645464757,13987766.022729341,35.738141889347396
36.759420000000006,1097907.1694479655,13987766.026347637,36.75921914848628
37.780515,1097907.174445424,13987766.030046906,37.78029577814243
38.801610000000004,1097907.179534147,13987766.033825468,38.80137178362412
39.822705000000006,1097907.1847094316,13987766.037681669,39.82244717023964
40.8438,1097907.1899665743,13987766.04161385,40.843521943297276
41.864895000000004,1097907.1953008715,13987766.045620352,41.86459610810532
42.88599000000001,1097907.2007076198,13987766.049699504,42.88566966997203
43.907085,1097907.2061821157,13987766.053849658,43.90674263420571
44.928180000000005,1097907.211719656,13987766.058069143,44.92781500611464
45.94927500000001,1097907.217315537,13987766.062356303,45.9488867910071
46.97037,1097907.2229650551,13987766.066709474,46.96995799419137
47.991465000000005,1097907.2286635078,13987766.071126997,47.991028620975754
49.01256000000001,1097907.2344061907,13987766.075607214,49.012098676668515
50.033655,1097907.2401884003,13987766.080148458,50.03316816657829
51.054750000000006,1097907.2460046115,13987766.084748646,51.05423710801786
52.075845,1097907.251846314,13987766.089404177,52.07530556186278
53.096940000000004,1097907.2577043201,13987766.094111077,53.0963735988675
54.118035000000006,1097907.263569443,13987766.098865394,54.11744128978651
55.13913,1097907.2694324963,13987766.103663169,55.138508705374264
56.160225000000004,1097907.2752842922,13987766.108500438,56.15957591638522
57.18132000000001,1097907.2811156441,13987766.113373246,57.18064299357384
58.202415,1097907.2869173647,13987766.118277632,58.201710007694594
59.223510000000005,1097907.2926802672,13987766.123209635,59.22277702950194
60.24460500000001,1097907.2983951645,13987766.128165295,60.243844129750364
61.2657,1097907.3040528696,13987766.133140657,61.264911379194295
62.286795000000005,1097907.3096441957,13987766.13813176,62.28597884858823
63.30789000000001,1097907.3151599553,13987766.143134642,63.307046608686605
64.328985,1097907.3205909615,13987766.148145344,64.32811473024388
65.35008,1097907.3259280277,13987766.153159909,65.34918328401456
66.37117500000001,1097907.3311619665,13987766.158174377,66.37025234075308
67.39227000000001,1097907.336283591,13987766.163184782,67.39132197121388
68.413365,1097907.3412837142,13987766.168187175,68.41239224615147
69.43446,1097907.346153149,13987766.173177589,69.43346323632029
70.455555,1097907.350882708,13987766.178152066,70.4545350124748
71.47665,1097907.3554632051,13987766.183106652,71.4756076453695
72.49774500000001,1097907.3598854523,13987766.188037377,72.49668120575879
73.51884000000001,1097907.3641402633,13987766.192940287,73.5177557643972
74.539935,1097907.3682184506,13987766.197811428,74.53883139203913
75.56103,1097907.3721114327,13987766.202646637,75.5599081560418
76.582125,1097907.3758218326,13987766.207438117,76.58098606086871
77.60322000000001,1097907.379362149,13987766.212174866,77.60206505554733
78.62431500000001,1097907.382745219,13987766.216845762,78.6231450872069
79.64541000000001,1097907.3859838804,13987766.221439695,79.64422610297659
80.666505,1097907.3890909695,13987766.22594555,80.66530804998563
81.6876,1097907.3920793242,13987766.230352208,81.68639087536327
82.708695,1097907.3949617809,13987766.234648546,82.70747452623866
83.72979000000001,1097907.397751178,13987766.238823462,83.72855894974107
84.75088500000001,1097907.4004603515,13987766.242865833,84.7496440929997
85.77198000000001,1097907.4031021392,13987766.246764543,85.77072990314375
86.793075,1097907.4056893783,13987766.25050848,86.79181632730243
87.81417,1097907.4082349055,13987766.254086519,87.81290331260493
88.835265,1097907.4107515586,13987766.257487554,88.83399080618054
