ARC_LENGTH_m,MD_m,EASTING,NORTHING,TVD_m
2761.04088,2198.560431769212,1098830.736755379,13987393.928190805,2069.268405460397
2762.061975,2198.8960253771475,1098831.7266264595,13987393.71504095,2069.4001622009655
2763.08307,2199.231691831893,1098832.7164747643,13987393.501908444,2069.5321197615367
2764.104165,2199.567431164458,1098833.7062967094,13987393.2887764,2069.6642773686076
2765.1252600000003,2199.903243405854,1098834.6960887122,13987393.075627921,2069.7966342486734
2766.1463550000003,2200.2391285870913,1098835.685847189,13987392.862446122,2069.929189628229
2767.1674500000004,2200.575086739182,1098836.6755685573,13987392.649214119,2070.061942733771
2768.1885450000004,2200.9111178931357,1098837.6652492334,13987392.435915016,2070.1948927917942
2769.20964,2201.247222079965,1098838.654885634,13987392.222531928,2070.328039028796
2770.230735,2201.5833993306796,1098839.6444741762,13987392.009047963,2070.4613806712705
2771.25183,2201.9196496762906,1098840.6340112768,13987391.79544623,2070.5949169457135
2772.272925,2202.255973145422,1098841.6234933552,13987391.581709858,2070.7286470756644
2773.2940200000003,2202.5923693946706,1098842.6129173022,13987391.367823994,2070.862569823821
2774.3151150000003,2202.928837308359,1098843.6022809842,13987391.15377801,2070.996682996244
2775.3362100000004,2203.265375674718,1098844.591582389,13987390.939561775,2071.1309842799637
2776.3573050000005,2203.6019832819807,1098845.5808195057,13987390.725165192,2071.265471362012
2777.3784,2203.938658918378,1098846.5699903215,13987390.510578135,2071.4001419294186
2778.399495,2204.2754013721433,1098847.559092825,13987390.295790493,2071.5349936692155
2779.42059,2204.6122094315083,1098848.5481250042,13987390.080792157,2071.6700242684333
2780.4416850000002,2204.9490818847044,1098849.5370848472,13987389.865573008,2071.805231414103
2781.4627800000003,2205.2860175199644,1098850.5259703428,13987389.650122931,2071.9406127932557
2782.4838750000004,2205.623015125521,1098851.5147794785,13987389.43443182,2072.0761660929234
2783.5049700000004,2205.960073489605,1098852.5035102428,13987389.21848955,2072.211889000135
2784.526065,2206.297191400449,1098853.4921606234,13987389.002286013,2072.347779201923
2785.54716,2206.6343676462857,1098854.480728609,13987388.785811098,2072.4838343853185
2786.568255,2206.9716010153466,1098855.4692121875,13987388.569054686,2072.6200522373515
2787.58935,2207.3088902958634,1098856.457609347,13987388.352006663,2072.756430445054
2788.6104450000003,2207.646234276069,1098857.445918076,13987388.134656915,2072.892966695456
2789.6315400000003,2207.983631744195,1098858.434136362,13987387.916995328,2073.029658675589
2790.6526350000004,2208.3210814884737,1098859.422262194,13987387.699011793,2073.1665040724847
2791.6737300000004,2208.6585822971374,1098860.4102935598,13987387.48069619,2073.303500573173
2792.694825,2208.9961329584175,1098861.3982284472,13987387.262038406,2073.4406458646854
2793.71592,2209.3337322605475,1098862.386064845,13987387.043028332,2073.5779376340533
2794.737015,2209.6713789917576,1098863.3738007408,13987386.823655846,2073.715373568307
2795.75811,2210.0090718533243,1098864.3614343014,13987386.603911448,2073.852951037176
2796.7792050000003,2210.3468083389575,1098865.348966165,13987386.383794032,2073.990663004043
2797.8003000000003,2210.6845850584273,1098866.336398781,13987386.163308669,2074.1284992068427
2798.8213950000004,2211.0223986012525,1098867.3237346392,13987385.942460554,2074.2664493096117
2799.8424900000005,2211.3602455569544,1098868.3109762303,13987385.721254889,2074.404502976388
2800.863585,2211.6981225150516,1098869.2981260442,13987385.49969688,2074.542649871212
2801.88468,2212.036026065065,1098870.2851865718,13987385.277791727,2074.68087965812
2802.905775,2212.373952796513,1098871.2721603028,13987385.055544633,2074.8191820011516
2803.9268700000002,2212.711899298917,1098872.259049728,13987384.8329608,2074.9575465643447
2804.9479650000003,2213.049862161795,1098873.2458573373,13987384.610045427,2075.0959630117377
2805.9690600000004,2213.387837974667,1098874.232585621,13987384.386803722,2075.234421007368
2806.9901550000004,2213.7258233270536,1098875.2192370691,13987384.163240878,2075.3729102152747
2808.01125,2214.0638148084745,1098876.2058141734,13987383.93936211,2075.511420299498
2809.032345,2214.4018090084487,1098877.1923194225,13987383.715172607,2075.6499409240732
2810.05344,2214.7398025164957,1098878.178755307,13987383.490677577,2075.78846175304
2811.074535,2215.0777919221364,1098879.165124318,13987383.265882222,2075.9269724504366
2812.0956300000003,2215.41577381489,1098880.1514289454,13987383.040791748,2076.065462680302
2813.1167250000003,2215.7537447842756,1098881.137671679,13987382.815411346,2076.2039221066734
2814.1378200000004,2216.091701419813,1098882.1238550094,13987382.589746226,2076.34234039359
2815.1589150000004,2216.429640311023,1098883.1099814272,13987382.36380159,2076.48070720509
2816.18001,2216.7675580474247,1098884.0960534227,13987382.137582637,2076.6190122052117
2817.201105,2217.1054512185374,1098885.0820734857,13987381.91109457,2076.7572450579923
2818.2222,2217.4433164139455,1098886.068044107,13987381.684342599,2076.8953954276976
2819.243295,2217.7811504581123,1098887.053968205,13987381.45733415,2077.0334538153425
