MD_m,EASTING_m,NORTHING_m,TVD_m,MD_m_plus_offset
0.0,334642.081032,4263471.064608,0.0,1636.5778800000003
1.021095,334642.0799062793,4263471.064504054,1.021095309718898,1637.5989750000003
2.04219,334642.07960032945,4263471.0648440365,2.0421904859876814,1638.6200700000002
3.0632850000000005,334642.0800635222,4263471.065610061,3.063285549456025,1639.6411650000002
4.08438,334642.0812452295,4263471.066784252,4.084380520773603,1640.6622600000003
5.105475,334642.0830948238,4263471.068348737,5.105475420590093,1641.6833550000003
6.126570000000001,334642.08556167677,4263471.070285635,6.126570269555168,1642.7044500000002
7.147665000000001,334642.08859516034,4263471.072577068,7.147665088318503,1643.7255450000002
8.16876,334642.0921446469,4263471.07520516,8.168759897529776,1644.7466400000003
9.189855,334642.0961595082,4263471.0781520335,9.18985471783866,1645.7677350000004
10.21095,334642.10058911645,4263471.081399811,10.210949569894831,1646.7888300000002
11.232045,334642.1053828435,4263471.084930615,11.232044474347964,1647.8099250000002
12.253140000000002,334642.11049006134,4263471.088726567,12.253139451847735,1648.8310200000003
13.274235,334642.1158601422,4263471.092769791,13.274234523043818,1649.8521150000004
14.295330000000002,334642.121442458,4263471.097042411,14.295329708585893,1650.8732100000002
15.316425,334642.12718637736,4263471.101526545,15.316425029114969,1651.8943050000003
16.33752,334642.1330312923,4263471.106199199,16.33752047966469,1652.9154000000003
17.358615,334642.1388846752,4263471.111021014,17.35861597333808,1653.9364950000004
18.379710000000003,334642.1446476278,4263471.115949361,18.379711406886777,1654.9575900000002
19.400805,334642.1502212516,4263471.120941613,19.400806677062384,1655.9786850000003
20.4219,334642.15550664853,4263471.125955142,20.421901680616543,1656.9997800000003
21.442995000000003,334642.1604049202,4263471.130947322,21.442996314300864,1658.0208750000004
22.46409,334642.16481716855,4263471.135875526,22.464090474866985,1659.0419700000002
23.485185,334642.1686535646,4263471.140694177,23.485184078024854,1660.0630650000003
24.506280000000004,334642.1719536044,4263471.145315694,24.506277309818255,1661.0841600000003
25.527375000000003,334642.17485317215,4263471.149621175,25.52737055777635,1662.1052550000002
26.54847,334642.17749045574,4263471.1534909755,26.548464214242987,1663.1263500000002
27.569565,334642.18000364257,4263471.156805446,27.56955867156198,1664.1474450000003
28.590660000000003,334642.1825309204,4263471.159444942,28.59065432207717,1665.1685400000003
29.611755,334642.18521047675,4263471.161289815,29.61175155813238,1666.1896350000002
30.63285,334642.188180439,4263471.162220533,30.63285077103247,1667.2107300000002
31.653945000000004,334642.1915518254,4263471.162167972,31.653951885532685,1668.2318250000003
32.67504,334642.1953659007,4263471.161192721,32.67505362593496,1669.2529200000004
33.696135000000005,334642.1996528656,4263471.15937595,33.69615452611238,1670.2740150000002
34.71723,334642.20444291993,4263471.156798823,34.717253119938,1671.2951100000002
35.738325,334642.2097662641,4263471.153542507,35.73834794128487,1672.3162050000003
36.759420000000006,334642.21565309813,4263471.149688172,36.75943752402606,1673.3373000000004
37.780515,334642.22213362245,4263471.145316983,37.78052040203462,1674.3583950000002
38.80161,334642.2292342976,4263471.1405160455,38.8015954843208,1675.3794900000003
39.822705000000006,334642.2369411859,4263471.135436631,39.82266573244676,1676.4005850000003
40.8438,334642.2452156761,4263471.1302692015,40.84373658315597,1677.4216800000004
41.864895,334642.2540188034,4263471.12520478,41.86481350861241,1678.4427750000002
42.88599000000001,334642.2633116034,4263471.120434387,42.88590198097998,1679.4638700000003
43.907085,334642.2730551116,4263471.116149047,43.90700747242265,1680.4849650000003
44.928180000000005,334642.28321036306,4263471.11253978,44.928135455104346,1681.5060600000004
45.94927500000001,334642.293738289,4263471.109797066,45.94929135233152,1682.5271550000002
46.97037,334642.3045832838,4263471.108025362,46.97047285825248,1683.5482500000003
47.991465000000005,334642.3156552876,4263471.10714989,47.99166156285961,1684.5693450000003
49.01256000000001,334642.3268599345,4263471.107073475,49.01283704362407,1685.5904400000004
50.033655,334642.33810285886,4263471.107698942,50.033978878017045,1686.6115350000002
51.054750000000006,334642.3492896949,4263471.108929117,51.055066643509704,1687.6326300000003
52.075845,334642.360326077,4263471.110666826,52.07607991757324,1688.6537250000003
53.09694,334642.37111763936,4263471.112814894,53.09699827767884,1689.6748200000002
54.118035000000006,334642.3815752324,4263471.115281661,54.11780518215963,1690.6959150000002
55.13913,334642.39165333856,4263471.118021621,55.13851655232963,1691.7170100000003
56.160225,334642.4013281788,4263471.121012259,56.15916448304741,1692.7381050000004
57.18132000000001,334642.4105761327,4263471.124231228,57.17978118749509,1693.7592000000002
58.202415,334642.4193735804,4263471.127656182,58.2003988788548,1694.7802950000003
59.223510000000005,334642.4276969013,4263471.131264774,59.22104977030864,1695.8013900000003
60.24460500000001,334642.43552247545,4263471.135034657,60.241766075038726,1696.8224850000004
61.2657,334642.44282684574,4263471.13894324,61.2625797708298,1697.8435800000002
62.286795000000005,334642.44959922985,4263471.142948759,62.28350453165974,1698.8646750000003
63.30789000000001,334642.4558503659,4263471.146976907,63.30452295371292,1699.8857700000003
64.328985,334642.4615930816,4263471.150950216,64.32561461632814,1700.9068650000004
65.35008,334642.4668402042,4263471.154791219,65.34675909884422,1701.9279600000002
66.37117500000001,334642.4716045612,4263471.15842245,66.36793598059994,1702.9490550000003
67.39227000000001,334642.4758989799,4263471.161766439,67.38912484093406,1703.9701500000003
68.413365,334642.4797362877,4263471.16474572,68.41030525918539,1704.9912450000002
69.43446,334642.48313824815,4263471.167288457,69.43145934270767,1706.0123400000002
70.455555,334642.4861853845,4263471.169359831,70.45258582263494,1707.0334350000003
