Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
43,  11/4/2024, 04:22:40.223000,  11/4/2024, 04:22:40.087017,      Primary,2,0,-1100,3100,7750,-0.44,25.35,1,11.7,56.8,1.6,1000000,     L2 msmx,31.7
53,  11/4/2024, 04:24:07.057000,  11/4/2024, 04:24:06.919334,      Primary,2,0,-600,3220,7690,-0.43,24.31,1,11.5,112.2,1.3,1000000,     L2 msmx,36.3
55,  11/4/2024, 04:24:42.509000,  11/4/2024, 04:24:42.371723,      Primary,2,0,-600,3200,7720,-0.45,21.34,1,8.1,49.3,1.3,1000000,     L2 msmx,37.15
75,  11/4/2024, 04:27:38.892250,  11/4/2024, 04:27:38.760674,      Primary,2,0,-1100,3110,7720,-0.44,21.97,1,13.8,92.7,1.4,1000000,     L2 msmx,38.06
77,  11/4/2024, 04:28:01.303250,  11/4/2024, 04:28:01.161736,      Primary,2,0,-600,3160,7860,-0.23,40.56,1,13.8,27.8,1.6,1000000,     L2 msmx,40.18
88,  11/4/2024, 04:29:57.914000,  11/4/2024, 04:29:57.778790,      Primary,2,0,-1080,3100,7730,-0.55,10.98,1,8.8,56.8,1.2,1000000,     L2 msmx,35.57
97,  11/4/2024, 04:31:19.478000,  11/4/2024, 04:31:19.338949,      Primary,2,0,-1080,3090,7710,-0.67,18.98,1,14.6,58.9,1.2,1000000,     L2 msmx,34.65
117,  11/4/2024, 04:33:44.277000,  11/4/2024, 04:33:44.143467,      Primary,2,0,-510,3150,7700,-0.61,19.76,1,16.5,73.1,1.3,1000000,     L2 msmx,33.59
126,  11/4/2024, 04:34:34.566750,  11/4/2024, 04:34:34.472988,      Primary,2,0,-550,3190,7790,-0.59,12.8,1,7.5,42.7,1.3,1000000,     L2 msmx,31.3
127,  11/4/2024, 04:34:50.343000,  11/4/2024, 04:34:50.202824,      Primary,2,0,-610,3200,7870,-0.39,15.75,1,16.5,169.1,1.6,1000000,     L2 msmx,32.65
128,  11/4/2024, 04:34:57.458500,  11/4/2024, 04:34:57.322601,      Primary,2,0,-530,3200,7710,-0.62,14.94,1,18.2,60.5,1.2,1000000,     L2 msmx,29.34
163,  11/4/2024, 04:39:14.005750,  11/4/2024, 04:39:13.878459,      Primary,2,0,-530,3170,7650,-0.68,16.73,1,14.8,43.6,1.4,1000000,     L2 msmx,32.2
