Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
150,  20/4/2024, 05:58:38.199000,  20/4/2024, 05:58:38.055386,      Primary,2,0,-50,2320,7680,-0.65,38.4,5,5.5,8.8,1.5,1000000,     L2 msmx,33.94
982,  21/4/2024, 19:47:57.249250,  21/4/2024, 19:47:57.057041,      Primary,2,0,-5000,2340,5640,-0.22,12.15,5,361.5,18.6,1.2,1000000,     L2 msmx,32.86
1360,  22/4/2024, 20:03:02.198250,  22/4/2024, 20:03:02.002227,      Primary,2,0,-5060,2360,5820,-0.15,14.2,5,356.1,10.2,1.1,1000000,     L2 msmx,27.71
1612,  23/4/2024, 15:25:40.019000,  23/4/2024, 15:25:39.831104,      Primary,4,0,-110,3430,6830,-1.08,20.21,5,22.5,46.5,2.1,1000000,    L2 Check,47.88
