Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
191,  15/4/2024, 15:47:04.922500,  15/4/2024, 15:47:04.780768,      Primary,2,0,-600,2650,7760,-0.63,14.49,3,5.6,24.8,1.4,1000000,     L2 msmx,13.79,16B_StrainRate_20240415T224704+0000_96801.h5
192,  15/4/2024, 15:47:27.776500,  15/4/2024, 15:47:27.629728,      Primary,2,0,-930,2690,7780,-0.11,33.73,3,7.6,18.9,1.6,1000000,     L2 msmx,14.08,16B_StrainRate_20240415T224716+0000_96802.h5
201,  15/4/2024, 15:48:59.663500,  15/4/2024, 15:48:59.520847,      Primary,2,0,-600,2630,7860,-0.28,30.81,3,12.6,64.5,1.6,1000000,     L2 msmx,14.48,16B_StrainRate_20240415T224852+0000_96810.h5
202,  15/4/2024, 15:49:15.959250,  15/4/2024, 15:49:15.809439,      Primary,2,0,-950,2580,7800,-0.28,34.85,3,9.2,42.4,1.8,1000000,     L2 msmx,15.23,16B_StrainRate_20240415T224904+0000_96811.h5
207,  15/4/2024, 15:50:30.787000,  15/4/2024, 15:50:30.642893,      Primary,2,0,-510,2630,7810,-0.46,26.79,3,8.0,21.7,1.4,1000000,     L2 msmx,12.57,16B_StrainRate_20240415T225028+0000_96818.h5
218,  15/4/2024, 15:52:01.989000,  15/4/2024, 15:52:01.838278,      Primary,2,0,-370,2850,7880,-0.79,8.03,3,6.6,23.6,1.4,1000000,     L2 msmx,10.66,16B_StrainRate_20240415T225152+0000_96825.h5
223,  15/4/2024, 15:52:32.275500,  15/4/2024, 15:52:32.130283,      Primary,2,0,-610,2610,7820,-0.61,14.31,3,7.2,34.5,1.3,1000000,     L2 msmx,10.77,16B_StrainRate_20240415T225228+0000_96828.h5
224,  15/4/2024, 15:52:40.941000,  15/4/2024, 15:52:40.790840,      Primary,2,0,-550,2620,7850,-0.68,31.91,3,4.5,18.3,1.4,1000000,     L2 msmx,10.96,16B_StrainRate_20240415T225240+0000_96829.h5
229,  15/4/2024, 15:53:20.739000,  15/4/2024, 15:53:20.588249,      Primary,2,0,-430,2780,7950,-0.72,10.21,3,8.0,27.4,1.2,1000000,     L2 msmx,9.74,16B_StrainRate_20240415T225316+0000_96832.h5
234,  15/4/2024, 15:54:05.183250,  15/4/2024, 15:54:05.027588,      Primary,2,0,-960,3720,8170,-0.29,24.25,3,10.6,47.1,1.2,1000000,     L2 msmx,10.12,16B_StrainRate_20240415T225404+0000_96836.h5
255,  15/4/2024, 15:58:01.535000,  15/4/2024, 15:58:01.395587,      Primary,2,0,-540,2720,7920,-0.81,9.26,3,16.5,63.1,1.4,1000000,     L2 msmx,9.88,16B_StrainRate_20240415T225752+0000_96855.h5
275,  15/4/2024, 16:02:01.364500,  15/4/2024, 16:02:01.218456,      Primary,2,0,-460,2770,8000,-0.8,7.39,3,27.4,45.8,1.1,1000000,     L2 msmx,9.55,16B_StrainRate_20240415T230152+0000_96875.h5
276,  15/4/2024, 16:02:07.142250,  15/4/2024, 16:02:07.334181,      Primary,2,0,-800,2750,7170,-0.32,111.02,3,16.7,23.3,1.6,1000000,     L2 msmx,9.75,16B_StrainRate_20240415T230204+0000_96876.h5
294,  15/4/2024, 16:06:54.664250,  15/4/2024, 16:06:54.521870,      Primary,2,0,-1010,3750,8010,0.5,250.94,3,37.9,88.0,1.8,1000000,     L2 msmx,11.66,16B_StrainRate_20240415T230652+0000_96900.h5
299,  15/4/2024, 16:09:06.392500,  15/4/2024, 16:09:06.278106,      Primary,2,0,-800,2750,7190,-0.33,109.39,3,42.0,85.8,1.6,1000000,     L2 msmx,9.92,16B_StrainRate_20240415T230904+0000_96911.h5
300,  15/4/2024, 16:09:19.159500,  15/4/2024, 16:09:19.043350,      Primary,2,0,-800,2750,7170,-0.22,145.22,3,45.2,171.0,1.8,1000000,     L2 msmx,11.39,16B_StrainRate_20240415T230916+0000_96912.h5
325,  15/4/2024, 16:29:41.067500,  15/4/2024, 16:29:40.952305,      Primary,2,0,-590,2740,7180,-0.84,23.14,3,17.7,26.8,1.4,1000000,     L2 msmx,9.44,16B_StrainRate_20240415T232940+0000_97014.h5
334,  15/4/2024, 16:44:52.433000,  15/4/2024, 16:44:52.295071,      Primary,2,0,-380,2840,7710,-0.77,22.28,3,16.7,50.0,1.7,1000000,     L2 msmx,10.81,16B_StrainRate_20240415T234452+0000_97090.h5
388,  15/4/2024, 17:38:17.471250,  15/4/2024, 17:38:17.358410,      Primary,2,0,-670,2770,7220,-0.58,29.01,3,12.3,33.1,1.5,1000000,     L2 msmx,9.26,16B_StrainRate_20240416T003816+0000_97357.h5
404,  15/4/2024, 17:58:28.166750,  15/4/2024, 17:58:28.037354,      Primary,2,0,-1580,3810,7800,0.23,310.63,3,79.5,243.2,1.3,1000000,     L2 msmx,9.2,16B_StrainRate_20240416T005828+0000_97458.h5
