Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
90,  13/4/2024, 11:24:52.064250,  13/4/2024, 11:24:51.924515,      Primary,2,0,-740,2950,7570,-0.49,20.29,2,20.2,93.4,1.2,1000000,     L2 msmx,18.1
108,  13/4/2024, 11:31:36.170000,  13/4/2024, 11:31:36.027554,      Primary,2,0,-810,3020,7930,-0.69,9.38,2,19.9,88.6,1.3,1000000,     L2 msmx,13.47
119,  13/4/2024, 11:35:28.660000,  13/4/2024, 11:35:28.518757,      Primary,2,0,-580,2950,7660,-0.56,12.71,2,17.7,90.8,1.3,1000000,     L2 msmx,13.21
129,  13/4/2024, 11:38:23.349000,  13/4/2024, 11:38:23.202301,      Primary,2,0,-990,2810,7960,-0.26,33.09,2,15.9,25.7,1.7,1000000,     L2 msmx,13.48
155,  13/4/2024, 11:43:47.865250,  13/4/2024, 11:43:47.818573,      Primary,2,0,-400,2850,7680,-0.17,90.72,2,12.8,58.1,1.6,1000000,     L2 msmx,12.59
180,  13/4/2024, 11:47:37.000500,  13/4/2024, 11:47:36.867863,      Primary,2,0,-410,2830,7690,-0.2,48.8,2,7.9,15.6,1.5,1000000,     L2 msmx,14.26
187,  13/4/2024, 11:49:03.740750,  13/4/2024, 11:49:03.621241,      Primary,2,0,-450,2850,7760,0.3,169.85,2,69,191,1.6,1000000,     L2 msmx,12.68
211,  13/4/2024, 11:52:52.732750,  13/4/2024, 11:52:52.621243,      Primary,2,0,-780,2910,7420,-0.19,100.71,2,15.3,55.9,1.5,1000000,     L2 msmx,13.52
220,  13/4/2024, 11:53:45.389500,  13/4/2024, 11:53:45.407173,      Primary,2,0,-400,2860,7630,-0.47,53.34,2,5.3,15.8,1.4,1000000,     L2 msmx,11.55
237,  13/4/2024, 11:56:35.263250,  13/4/2024, 11:56:35.138138,      Primary,2,0,-990,2820,7530,-0.04,59.09,2,38.5,199.6,1.5,1000000,     L2 msmx,11.86
238,  13/4/2024, 11:56:47.421250,  13/4/2024, 11:56:47.276073,      Primary,2,0,-480,2950,7910,-0.37,14.35,2,5.1,10.5,1.1,1000000,     L2 msmx,13.07
239,  13/4/2024, 11:57:05.004250,  13/4/2024, 11:57:04.865966,      Primary,2,0,-570,2990,7420,-0.79,25.25,2,9.8,41.9,1.1,1000000,     L2 msmx,10.89
243,  13/4/2024, 11:58:07.563250,  13/4/2024, 11:58:07.437011,      Primary,2,0,-410,2860,7730,-0.15,89.96,2,18.3,137.8,1.4,1000000,     L2 msmx,12.18
250,  13/4/2024, 11:59:24.375750,  13/4/2024, 11:59:24.244352,      Primary,2,0,-1030,2700,7600,-0.48,69.84,2,5.6,14.6,1.4,1000000,     L2 msmx,12.98
262,  13/4/2024, 12:02:07.038250,  13/4/2024, 12:02:06.903917,      Primary,2,0,-1050,2780,7490,-0.55,33.3,2,14.7,55.6,1.4,1000000,     L2 msmx,12.79
277,  13/4/2024, 12:04:17.907000,  13/4/2024, 12:04:17.766031,      Primary,2,0,-500,2820,7860,-0.38,62.99,2,10.2,28.3,1.5,1000000,     L2 msmx,14.21
288,  13/4/2024, 12:06:35.348500,  13/4/2024, 12:06:35.204102,      Primary,2,0,-710,2890,7950,-0.2,35.9,2,19.2,38.1,1.8,1000000,     L2 msmx,14.25
298,  13/4/2024, 12:08:15.991500,  13/4/2024, 12:08:15.842061,      Primary,2,0,-990,2680,7800,-0.46,42.82,2,8.8,23.6,1.5,1000000,     L2 msmx,12.62
304,  13/4/2024, 12:08:59.129000,  13/4/2024, 12:08:58.998375,      Primary,2,0,-790,3000,7380,-0.28,74.43,2,9.2,19.9,1.7,1000000,     L2 msmx,13.03
310,  13/4/2024, 12:10:41.662000,  13/4/2024, 12:10:41.527939,      Primary,2,0,-420,3000,7590,-0.34,86.74,2,5.1,13.7,1.5,1000000,     L2 msmx,12.8
326,  13/4/2024, 12:13:07.525250,  13/4/2024, 12:13:07.389361,      Primary,2,0,-400,2880,7610,-0.48,53.48,2,11.2,34.5,1.4,1000000,     L2 msmx,13.73
338,  13/4/2024, 12:14:45.922250,  13/4/2024, 12:14:45.780643,      Primary,2,0,-450,2900,7690,-0.22,59.17,2,11.7,13.6,1.8,1000000,     L2 msmx,13.82
340,  13/4/2024, 12:15:04.525000,  13/4/2024, 12:15:04.408441,      Primary,2,0,-1170,2840,7470,0.04,50.21,2,18,24.1,1.8,1000000,     L2 msmx,12.16
341,  13/4/2024, 12:15:29.134750,  13/4/2024, 12:15:28.991257,      Primary,2,0,-460,2740,7860,-0.74,22.4,2,6.4,14.3,1.4,1000000,     L2 msmx,11.72
345,  13/4/2024, 12:16:17.607750,  13/4/2024, 12:16:17.472075,      Primary,2,0,-1010,2790,7580,-0.68,29.69,2,9.5,37.3,1.2,1000000,     L2 msmx,11.39
352,  13/4/2024, 12:17:31.874500,  13/4/2024, 12:17:31.736307,      Primary,2,0,-410,2860,7640,-0.93,15.49,2,5.3,13.1,1.5,1000000,     L2 msmx,12.44
353,  13/4/2024, 12:17:34.010250,  13/4/2024, 12:17:33.938728,      Primary,2,0,-430,2910,7890,0.12,89.59,2,17.7,16.8,2,1000000,     L2 msmx,16.31
355,  13/4/2024, 12:17:43.120750,  13/4/2024, 12:17:43.173149,      Primary,2,0,-450,2820,7780,-0.02,54.28,2,7.8,11.7,1.8,1000000,     L2 msmx,10.98
