Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
20,  17/4/2024, 06:37:33.848250,  17/4/2024, 06:37:33.714916,      Primary,2,0,-580,2530,7540,-1.06,-1000000,4,20.8,25.6,1.2,1000000,     L2 msmx,9.81
28,  17/4/2024, 06:49:32.797250,  17/4/2024, 06:49:32.664742,      Primary,2,0,-700,2300,7400,-0.94,-1000000,4,19.4,28.7,1.2,1000000,     L2 msmx,9.8
30,  17/4/2024, 06:52:55.364750,  17/4/2024, 06:52:55.223465,      Primary,2,0,-590,2500,7690,-0.96,-1000000,4,9.5,29.3,1.3,1000000,     L2 msmx,9.91
155,  17/4/2024, 16:03:03.477750,  17/4/2024, 16:03:03.102796,      Primary,2,0,-2050,-3660,8090,-0.09,14.32,4,18.6,28.4,1.1,1000000,     L2 msmx,32.96
158,  17/4/2024, 16:15:46.498500,  17/4/2024, 16:15:46.111862,      Primary,2,0,-3210,-3050,8110,-0.63,0.67,4,24.5,8.2,1.1,1000000,     L2 msmx,30.34
162,  17/4/2024, 16:26:32.186750,  17/4/2024, 16:26:31.809729,      Primary,2,0,-2070,-3610,8100,-0.1,8.56,4,16.4,17.4,1.2,1000000,     L2 msmx,30.31
163,  17/4/2024, 16:26:41.243750,  17/4/2024, 16:26:40.864426,      Primary,2,0,-3050,-3540,8110,-0.64,3.24,4,9.7,12.6,1.2,1000000,     L2 msmx,29.61
